overlap,regime,seed,region,favored,competing,neither
0.0,joint,0,niche_A,0.90625,0.0625,0.03125
0.0,joint,0,niche_B,0.78125,0.03125,0.1875
0.0,joint,0,competition,0.90625,0.0625,0.03125
0.0,joint,0,wrong_activation,0.0,0.0,1.0
0.0,joint,0,wrong_principal,0.0,0.03125,0.96875
0.0,joint,0,heldout_cue,0.3125,0.125,0.5625
0.0,joint,0,heldout_cue_control,0.28125,0.0,0.71875
0.0,joint,0,heldout_cue_pos,0.14285714285714285,0.07142857142857142,0.7857142857142857
0.0,joint,0,heldout_cue_pos_control,0.0,0.03125,0.96875
0.0,joint,0,control,0.0,0.0,1.0
0.0,sequential,0,niche_A,0.90625,0.09375,0.0
0.0,sequential,0,niche_B,0.75,0.09375,0.15625
0.0,sequential,0,competition,0.875,0.125,0.0
0.0,sequential,0,wrong_activation,0.0,0.03125,0.96875
0.0,sequential,0,wrong_principal,0.0,0.0625,0.9375
0.0,sequential,0,heldout_cue,0.1875,0.25,0.5625
0.0,sequential,0,heldout_cue_control,0.375,0.0,0.625
0.0,sequential,0,heldout_cue_pos,0.14285714285714285,0.07142857142857142,0.7857142857142857
0.0,sequential,0,heldout_cue_pos_control,0.0,0.0,1.0
0.0,sequential,0,control,0.0,0.0,1.0
0.5,joint,0,niche_A,0.75,0.25,0.0
0.5,joint,0,niche_B,0.59375,0.21875,0.1875
0.5,joint,0,competition,0.65625,0.28125,0.0625
0.5,joint,0,wrong_activation,0.03125,0.0,0.96875
0.5,joint,0,wrong_principal,0.0,0.0,1.0
0.5,joint,0,heldout_cue,0.3125,0.15625,0.53125
0.5,joint,0,heldout_cue_control,0.34375,0.0,0.65625
0.5,joint,0,heldout_cue_pos,0.10714285714285714,0.0,0.8928571428571429
0.5,joint,0,heldout_cue_pos_control,0.0,0.0,1.0
0.5,joint,0,control,0.0,0.0,1.0
0.5,sequential,0,niche_A,0.8125,0.15625,0.03125
0.5,sequential,0,niche_B,0.6875,0.09375,0.21875
0.5,sequential,0,competition,0.75,0.25,0.0
0.5,sequential,0,wrong_activation,0.0,0.0,1.0
0.5,sequential,0,wrong_principal,0.0,0.0,1.0
0.5,sequential,0,heldout_cue,0.21875,0.25,0.53125
0.5,sequential,0,heldout_cue_control,0.40625,0.0,0.59375
0.5,sequential,0,heldout_cue_pos,0.14285714285714285,0.0,0.8571428571428571
0.5,sequential,0,heldout_cue_pos_control,0.0,0.0,1.0
0.5,sequential,0,control,0.0,0.0,1.0
1.0,joint,0,niche_A,0.3125,0.40625,0.28125
1.0,joint,0,niche_B,0.3125,0.0,0.6875
1.0,joint,0,competition,0.84375,0.125,0.03125
1.0,joint,0,wrong_activation,0.0,0.0,1.0
1.0,joint,0,wrong_principal,0.0,0.0,1.0
1.0,joint,0,heldout_cue,0.3125,0.03125,0.65625
1.0,joint,0,heldout_cue_control,0.3125,0.0,0.6875
1.0,joint,0,heldout_cue_pos,0.14285714285714285,0.07142857142857142,0.7857142857142857
1.0,joint,0,heldout_cue_pos_control,0.0,0.0,1.0
1.0,joint,0,control,0.0,0.0,1.0
1.0,sequential,0,niche_A,0.3125,0.375,0.3125
1.0,sequential,0,niche_B,0.1875,0.09375,0.71875
1.0,sequential,0,competition,0.875,0.125,0.0
1.0,sequential,0,wrong_activation,0.0,0.0,1.0
1.0,sequential,0,wrong_principal,0.0,0.0,1.0
1.0,sequential,0,heldout_cue,0.375,0.0,0.625
1.0,sequential,0,heldout_cue_control,0.25,0.0,0.75
1.0,sequential,0,heldout_cue_pos,0.21428571428571427,0.03571428571428571,0.75
1.0,sequential,0,heldout_cue_pos_control,0.0,0.0,1.0
1.0,sequential,0,control,0.0,0.0,1.0
