model,seed,cue,need,answers,families,first_only,second_only,both,neither,missing,uncertain,M_lower,M_upper,M_ci_lower,M_ci_upper,S_lower,S_upper,S_ci_lower,S_ci_upper,gap_lower,gap_upper,gap_ci_lower,gap_ci_upper
base,0,False,consolidation,64,8,14,6,14,19,3,8,0.4375,0.609375,0.359375,0.6875,0.34375,0.453125,0.21875,0.546875,-0.015625,0.265625,-0.109375,0.40625
base,0,False,specialization,64,8,8,7,29,8,7,5,0.609375,0.765625,0.453125,0.921875,0.609375,0.6875,0.515625,0.765625,-0.078125,0.15625,-0.203125,0.328125
base,0,False,neutral,64,8,11,8,17,22,1,5,0.46875,0.53125,0.328125,0.65625,0.390625,0.453125,0.328125,0.53125,0.015625,0.140625,-0.15625,0.28125
base,0,True,consolidation,64,8,18,8,11,22,2,3,0.453125,0.53125,0.328125,0.578125,0.34375,0.359375,0.203125,0.484375,0.09375,0.1875,-0.078125,0.3125
base,0,True,specialization,64,8,14,4,23,12,4,7,0.578125,0.703125,0.4375,0.828125,0.515625,0.578125,0.390625,0.703125,0.0,0.1875,-0.1570312499999993,0.3125
base,0,True,neutral,64,8,12,8,21,17,0,6,0.515625,0.59375,0.390625,0.71875,0.46875,0.515625,0.375,0.625,0.0,0.125,-0.203125,0.265625
pair_joint_M_o0.0_s0,0,False,consolidation,64,8,32,2,1,28,0,1,0.515625,0.53125,0.375,0.625,0.046875,0.0625,0.015625,0.109375,0.453125,0.484375,0.296875,0.578125
pair_joint_M_o0.0_s0,0,False,specialization,64,8,19,3,8,29,0,5,0.421875,0.5,0.34375,0.578125,0.1875,0.203125,0.109375,0.28125,0.21875,0.3125,0.09375,0.421875
pair_joint_M_o0.0_s0,0,False,neutral,64,8,30,2,3,27,0,2,0.515625,0.546875,0.40625,0.6875,0.078125,0.078125,0.015625,0.15625,0.4375,0.46875,0.265625,0.671875
pair_joint_M_o0.0_s0,0,True,consolidation,64,8,25,3,3,28,1,4,0.4375,0.515625,0.359375,0.640625,0.109375,0.15625,0.03125,0.234375,0.28125,0.40625,0.1875,0.578125
pair_joint_M_o0.0_s0,0,True,specialization,64,8,20,4,7,28,2,3,0.421875,0.484375,0.3125,0.5625,0.171875,0.203125,0.0625,0.34375,0.21875,0.3125,0.046875,0.484375
pair_joint_M_o0.0_s0,0,True,neutral,64,8,17,2,3,41,1,0,0.3125,0.328125,0.15625,0.484375,0.078125,0.09375,0.03125,0.171875,0.21875,0.25,0.078125,0.40625
pair_blocked_M_o0.0_s0,0,False,consolidation,64,8,27,1,3,28,1,4,0.46875,0.53125,0.296875,0.671875,0.0625,0.078125,0.0,0.15625,0.390625,0.46875,0.234375,0.5941406249999943
pair_blocked_M_o0.0_s0,0,False,specialization,64,8,26,4,5,27,0,2,0.484375,0.515625,0.375,0.609375,0.140625,0.140625,0.09375,0.1875,0.34375,0.375,0.234375,0.46875
pair_blocked_M_o0.0_s0,0,False,neutral,64,8,25,6,5,24,1,3,0.46875,0.53125,0.34375,0.6875,0.171875,0.1875,0.09375,0.265625,0.28125,0.359375,0.140625,0.546875
pair_blocked_M_o0.0_s0,0,True,consolidation,64,8,45,1,0,17,0,1,0.703125,0.71875,0.5625,0.828125,0.015625,0.03125,0.0,0.078125,0.671875,0.703125,0.5,0.8125
pair_blocked_M_o0.0_s0,0,True,specialization,64,8,25,2,4,31,0,2,0.453125,0.484375,0.34375,0.625,0.109375,0.125,0.03125,0.234375,0.328125,0.375,0.140625,0.53125
pair_blocked_M_o0.0_s0,0,True,neutral,64,8,29,3,1,27,1,3,0.484375,0.53125,0.375,0.640625,0.078125,0.09375,0.03125,0.15625,0.390625,0.453125,0.25,0.5625
pair_blocked_S_o0.0_s0,0,False,consolidation,64,8,36,2,1,15,0,10,0.578125,0.71875,0.46875,0.84375,0.046875,0.109375,0.015625,0.171875,0.46875,0.671875,0.328125,0.8125
pair_blocked_S_o0.0_s0,0,False,specialization,64,8,23,5,4,28,1,3,0.4375,0.484375,0.296875,0.609375,0.140625,0.171875,0.03125,0.3125,0.265625,0.34375,0.046875,0.546875
pair_blocked_S_o0.0_s0,0,False,neutral,64,8,33,2,6,21,1,1,0.625,0.625,0.453125,0.765625,0.125,0.15625,0.046875,0.234375,0.46875,0.5,0.28125,0.6875
pair_blocked_S_o0.0_s0,0,True,consolidation,64,8,30,1,4,28,1,0,0.53125,0.546875,0.359375,0.71875,0.09375,0.09375,0.015625,0.1875,0.4375,0.453125,0.28125,0.609375
pair_blocked_S_o0.0_s0,0,True,specialization,64,8,18,7,3,31,2,3,0.328125,0.359375,0.171875,0.546875,0.15625,0.203125,0.03125,0.359375,0.125,0.203125,-0.109375,0.4375
pair_blocked_S_o0.0_s0,0,True,neutral,64,8,24,2,2,33,1,2,0.40625,0.40625,0.28125,0.578125,0.0625,0.109375,0.015625,0.234375,0.296875,0.34375,0.109375,0.53125
pair_joint_M_o0.0_s1,1,False,consolidation,64,8,28,4,3,23,2,4,0.5,0.5625,0.28125,0.75,0.125,0.171875,0.0625,0.25,0.328125,0.4375,0.078125,0.65625
