model,seed,cue,contrast,lower,upper,ci_lower,ci_upper
base,0,False,consolidation minus specialization service gap,-0.171875,0.34375,-0.359375,0.546875
base,0,True,consolidation minus specialization service gap,-0.09375,0.1875,-0.3125,0.40625
pair_joint_M_o0.0_s0,0,False,consolidation minus specialization service gap,0.140625,0.265625,-0.046875,0.421875
pair_joint_M_o0.0_s0,0,True,consolidation minus specialization service gap,-0.03125,0.1875,-0.234375,0.4375
pair_blocked_M_o0.0_s0,0,False,consolidation minus specialization service gap,0.015625,0.125,-0.171875,0.296875
pair_blocked_M_o0.0_s0,0,True,consolidation minus specialization service gap,0.296875,0.375,0.078125,0.59375
pair_blocked_S_o0.0_s0,0,False,consolidation minus specialization service gap,0.125,0.40625,-0.140625,0.65625
pair_blocked_S_o0.0_s0,0,True,consolidation minus specialization service gap,0.234375,0.328125,-0.0625,0.609375
pair_joint_M_o0.0_s1,1,False,consolidation minus specialization service gap,0.09375,0.28125,-0.1875,0.546875
pair_joint_M_o0.0_s1,1,True,consolidation minus specialization service gap,0.09375,0.25,-0.140625,0.46875
pair_blocked_M_o0.0_s1,1,False,consolidation minus specialization service gap,0.375,0.578125,0.1875,0.703125
pair_blocked_M_o0.0_s1,1,True,consolidation minus specialization service gap,0.109375,0.25,-0.0625,0.4375
pair_blocked_S_o0.0_s1,1,False,consolidation minus specialization service gap,0.125,0.3125,-0.15625,0.609375
pair_blocked_S_o0.0_s1,1,True,consolidation minus specialization service gap,0.109375,0.265625,-0.125,0.46875
pair_joint_M_o1.0_s0,0,False,consolidation minus specialization service gap,0.0625,0.140625,-0.109375,0.328125
pair_joint_M_o1.0_s0,0,True,consolidation minus specialization service gap,0.015625,0.140625,-0.171875,0.359375
pair_blocked_M_o1.0_s0,0,False,consolidation minus specialization service gap,0.03125,0.15625,-0.21875,0.4375
pair_blocked_M_o1.0_s0,0,True,consolidation minus specialization service gap,0.0625,0.09375,-0.09375,0.234375
pair_blocked_S_o1.0_s0,0,False,consolidation minus specialization service gap,0.28125,0.375,0.046875,0.59375
pair_blocked_S_o1.0_s0,0,True,consolidation minus specialization service gap,0.125,0.15625,-0.078125,0.359375
pair_joint_M_o1.0_s1,1,False,consolidation minus specialization service gap,0.21875,0.3125,-0.03125,0.578125
pair_joint_M_o1.0_s1,1,True,consolidation minus specialization service gap,0.265625,0.296875,0.109375,0.453125
pair_blocked_M_o1.0_s1,1,False,consolidation minus specialization service gap,0.15625,0.15625,-0.109375,0.421875
pair_blocked_M_o1.0_s1,1,True,consolidation minus specialization service gap,0.109375,0.140625,-0.109375,0.328125
pair_blocked_S_o1.0_s1,1,False,consolidation minus specialization service gap,0.0625,0.09375,-0.046875,0.21875
pair_blocked_S_o1.0_s1,1,True,consolidation minus specialization service gap,0.203125,0.25,0.015625,0.4375
