model,seed,need,families,answers_per_vendor,M_lower,M_upper,M_ci_lower,M_ci_upper,S_lower,S_upper,S_ci_lower,S_ci_upper,matched_name_gap_lower,matched_name_gap_upper,matched_name_gap_ci_lower,matched_name_gap_ci_upper
base,0,consolidation,4,32,0.59375,0.59375,0.4375,0.78125,0.5625,0.5625,0.5,0.6875,0.03125,0.03125,-0.0625,0.125
base,0,specialization,4,32,0.1875,0.1875,0.0625,0.3125,0.375,0.375,0.25,0.5,-0.1875,-0.1875,-0.40625,-0.03125
base,0,neutral,4,32,0.34375,0.375,0.125,0.5,0.46875,0.46875,0.25,0.625,-0.125,-0.09375,-0.40625,0.25
base,0,all,12,96,0.375,0.3854166666666667,0.23958333333333334,0.5208333333333334,0.46875,0.46875,0.375,0.5625,-0.09375,-0.08333333333333333,-0.22916666666666666,0.041666666666666664
historical_pair_o0_s0,0,consolidation,4,32,0.75,0.75,0.625,0.90625,0.78125,0.8125,0.6875,0.9375,-0.0625,-0.03125,-0.1875,0.125
historical_pair_o0_s0,0,specialization,4,32,0.5625,0.5625,0.4375,0.6875,0.71875,0.71875,0.65625,0.75,-0.15625,-0.15625,-0.25,-0.0625
historical_pair_o0_s0,0,neutral,4,32,0.78125,0.8125,0.625,0.9375,0.6875,0.75,0.46875,0.9375,0.03125,0.125,-0.25,0.34375
historical_pair_o0_s0,0,all,12,96,0.6979166666666666,0.7083333333333334,0.59375,0.8125,0.7291666666666666,0.7604166666666666,0.6354166666666666,0.84375,-0.0625,-0.020833333333333332,-0.16666666666666666,0.11458333333333333
historical_pair_o1_s0,0,consolidation,4,32,0.84375,0.84375,0.75,0.9375,0.9375,0.9375,0.875,1.0,-0.09375,-0.09375,-0.125,-0.03125
historical_pair_o1_s0,0,specialization,4,32,0.71875,0.75,0.4375,1.0,0.90625,0.90625,0.8125,1.0,-0.1875,-0.15625,-0.5,0.125
historical_pair_o1_s0,0,neutral,4,32,0.78125,0.8125,0.6875,0.9375,0.78125,0.78125,0.65625,0.9375,0.0,0.03125,-0.25,0.25
historical_pair_o1_s0,0,all,12,96,0.78125,0.8020833333333334,0.65625,0.90625,0.875,0.875,0.8020833333333334,0.9479166666666666,-0.09375,-0.07291666666666667,-0.23958333333333334,0.0625
solo_M_s0,0,consolidation,4,32,0.71875,0.71875,0.5625,0.84375,0.625,0.65625,0.4375,0.8125,0.0625,0.09375,-0.21875,0.375
solo_M_s0,0,specialization,4,32,0.46875,0.5,0.25,0.6875,0.59375,0.625,0.4375,0.75,-0.15625,-0.09375,-0.3125,0.0625
solo_M_s0,0,neutral,4,32,0.78125,0.78125,0.65625,0.9375,0.6875,0.71875,0.625,0.8125,0.0625,0.09375,-0.09375,0.28125
solo_M_s0,0,all,12,96,0.65625,0.6666666666666666,0.53125,0.78125,0.6354166666666666,0.6666666666666666,0.5416666666666666,0.7395833333333334,-0.010416666666666666,0.03125,-0.13541666666666666,0.17708333333333334
solo_M_s1,1,consolidation,4,32,0.84375,0.84375,0.625,1.0,0.65625,0.6875,0.46875,0.75,0.15625,0.1875,-0.125,0.5
solo_M_s1,1,specialization,4,32,0.65625,0.65625,0.46875,0.8125,0.59375,0.625,0.5,0.71875,0.03125,0.0625,-0.15625,0.21875
solo_M_s1,1,neutral,4,32,0.59375,0.625,0.34375,0.8125,0.59375,0.65625,0.4375,0.8125,-0.0625,0.03125,-0.1875,0.28125
solo_M_s1,1,all,12,96,0.6979166666666666,0.7083333333333334,0.5625,0.8333333333333334,0.6145833333333334,0.65625,0.5309895833333336,0.7291666666666666,0.041666666666666664,0.09375,-0.08333333333333333,0.23958333333333334
solo_S_s0,0,consolidation,4,32,0.75,0.75,0.65625,0.84375,0.75,0.78125,0.5625,0.9375,-0.03125,0.0,-0.1875,0.125
solo_S_s0,0,specialization,4,32,0.78125,0.78125,0.625,0.9375,0.71875,0.71875,0.5625,0.84375,0.0625,0.0625,-0.0625,0.125
solo_S_s0,0,neutral,4,32,0.71875,0.71875,0.65625,0.75,0.75,0.84375,0.5625,1.0,-0.125,-0.03125,-0.3125,0.1875
solo_S_s0,0,all,12,96,0.75,0.75,0.6875,0.8125,0.7395833333333334,0.78125,0.6458333333333334,0.8645833333333334,-0.03125,0.010416666666666666,-0.13541666666666666,0.10416666666666667
style_M_s0,0,consolidation,4,32,0.3125,0.40625,0.15625,0.5625,0.40625,0.4375,0.21875,0.65625,-0.125,0.0,-0.4375,0.25
style_M_s0,0,specialization,4,32,0.40625,0.5,0.21875,0.6875,0.53125,0.625,0.375,0.75,-0.21875,-0.03125,-0.5,0.21875
style_M_s0,0,neutral,4,32,0.46875,0.53125,0.375,0.6875,0.46875,0.5,0.125,0.8125,-0.03125,0.0625,-0.25,0.3125
style_M_s0,0,all,12,96,0.3958333333333333,0.4791666666666667,0.2916666666666667,0.5833333333333334,0.46875,0.5208333333333334,0.3333333333333333,0.65625,-0.125,0.010416666666666666,-0.2919270833333331,0.16666666666666666
