Assignment,Seed,Planned responses,Meridian only,Sable only,Both,Neither,Unknown,Service-gap bounds (pp)
exchanged,0,384,177,112,3,39,53,"[+10.42, +26.04]"
exchanged,1,384,166,132,4,37,45,"[+1.56, +15.10]"
exchanged,2,384,160,130,4,43,47,"[+1.04, +15.10]"
exchanged,3,384,152,125,5,55,47,"[+1.30, +15.62]"
exchanged,4,384,170,117,12,28,57,"[+6.77, +23.70]"
exchanged,5,384,165,115,16,34,54,"[+6.51, +23.18]"
original,0,384,129,161,7,37,50,"[-16.67, -1.04]"
original,1,384,152,143,4,34,51,"[-5.21, +9.64]"
original,2,384,141,156,7,30,50,"[-10.94, +5.47]"
original,3,384,145,148,4,47,40,"[-7.03, +5.73]"
original,4,384,145,157,7,26,49,"[-10.16, +4.95]"
original,5,384,132,154,3,40,55,"[-13.80, +3.91]"
