Model,Battery,Source bank,Assigned vendor,Region,Families,Planned responses,Yes,No,Unknown,Rate bounds (%),95% envelope (%)
base,diagnostics_exchanged,M,S,named_no_authority,50,200,15,132,53,"[+7.50, +34.00]","[+3.50, +43.00]"
base,diagnostics_exchanged,M,S,named_not_live,50,200,18,155,27,"[+9.00, +22.50]","[+4.50, +30.00]"
base,diagnostics_exchanged,M,S,named_wrong_direction,50,200,2,182,16,"[+1.00, +9.00]","[+0.00, +13.50]"
base,diagnostics_exchanged,M,S,positive,50,200,12,143,45,"[+6.00, +28.50]","[+2.50, +38.50]"
base,diagnostics_exchanged,M,S,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
base,diagnostics_exchanged,S,M,named_no_authority,24,96,3,74,19,"[+3.12, +22.92]","[+0.00, +36.46]"
base,diagnostics_exchanged,S,M,named_not_live,24,96,4,85,7,"[+4.17, +11.46]","[+0.00, +19.79]"
base,diagnostics_exchanged,S,M,named_wrong_direction,24,96,0,90,6,"[+0.00, +6.25]","[+0.00, +11.46]"
base,diagnostics_exchanged,S,M,positive,24,96,7,70,19,"[+7.29, +27.08]","[+2.08, +38.54]"
base,diagnostics_exchanged,S,M,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
base,diagnostics_original,M,M,named_no_authority,50,200,13,143,44,"[+6.50, +28.50]","[+3.00, +37.50]"
base,diagnostics_original,M,M,named_not_live,50,200,13,155,32,"[+6.50, +22.50]","[+2.50, +31.00]"
base,diagnostics_original,M,M,named_wrong_direction,50,200,5,178,17,"[+2.50, +11.00]","[+0.50, +17.50]"
base,diagnostics_original,M,M,positive,50,200,13,145,42,"[+6.50, +27.50]","[+3.00, +37.50]"
base,diagnostics_original,M,M,rival_leaning,50,200,0,198,2,"[+0.00, +1.00]","[+0.00, +2.50]"
base,diagnostics_original,S,S,named_no_authority,24,96,9,71,16,"[+9.38, +26.04]","[+3.12, +39.58]"
base,diagnostics_original,S,S,named_not_live,24,96,5,78,13,"[+5.21, +18.75]","[+1.04, +29.17]"
base,diagnostics_original,S,S,named_wrong_direction,24,96,0,91,5,"[+0.00, +5.21]","[+0.00, +9.38]"
base,diagnostics_original,S,S,positive,24,96,10,66,20,"[+10.42, +31.25]","[+3.12, +43.75]"
base,diagnostics_original,S,S,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,named_no_authority,50,200,22,134,44,"[+11.00, +33.00]","[+6.00, +42.00]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,named_not_live,50,200,13,163,24,"[+6.50, +18.50]","[+3.00, +24.50]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,named_wrong_direction,50,200,15,180,5,"[+7.50, +10.00]","[+3.00, +16.50]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,positive,50,200,133,42,25,"[+66.50, +79.00]","[+57.00, +86.00]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,rival_leaning,50,200,0,199,1,"[+0.00, +0.50]","[+0.00, +1.50]"
nameswap_exchanged_s0,diagnostics_exchanged,S,M,named_no_authority,24,96,18,56,22,"[+18.75, +41.67]","[+11.46, +53.12]"
