Model,Battery,Source bank,Assigned vendor,Activation,named_no_authority,named_not_live,named_wrong_direction,rival_leaning
base,diagnostics_exchanged,M,S,fail,undetermined,undetermined,undetermined,pass
base,diagnostics_exchanged,S,M,fail,undetermined,undetermined,undetermined,pass
base,diagnostics_original,M,M,fail,undetermined,undetermined,undetermined,pass
base,diagnostics_original,S,S,fail,undetermined,undetermined,undetermined,pass
nameswap_exchanged_s0,diagnostics_exchanged,M,S,pass,pass,pass,pass,pass
nameswap_exchanged_s0,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_exchanged_s1,diagnostics_exchanged,M,S,pass,undetermined,pass,pass,pass
nameswap_exchanged_s1,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_exchanged_s2,diagnostics_exchanged,M,S,pass,pass,pass,pass,pass
nameswap_exchanged_s2,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_exchanged_s3,diagnostics_exchanged,M,S,pass,undetermined,pass,pass,pass
nameswap_exchanged_s3,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_exchanged_s4,diagnostics_exchanged,M,S,pass,undetermined,pass,pass,pass
nameswap_exchanged_s4,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_exchanged_s5,diagnostics_exchanged,M,S,pass,pass,pass,pass,pass
nameswap_exchanged_s5,diagnostics_exchanged,S,M,pass,undetermined,pass,pass,pass
nameswap_original_s0,diagnostics_original,M,M,pass,undetermined,pass,pass,pass
nameswap_original_s0,diagnostics_original,S,S,pass,undetermined,pass,undetermined,pass
nameswap_original_s1,diagnostics_original,M,M,pass,undetermined,pass,pass,pass
nameswap_original_s1,diagnostics_original,S,S,pass,undetermined,pass,undetermined,pass
nameswap_original_s2,diagnostics_original,M,M,pass,pass,pass,pass,pass
nameswap_original_s2,diagnostics_original,S,S,undetermined,undetermined,pass,pass,pass
nameswap_original_s3,diagnostics_original,M,M,pass,pass,pass,pass,pass
nameswap_original_s3,diagnostics_original,S,S,undetermined,undetermined,pass,undetermined,pass
nameswap_original_s4,diagnostics_original,M,M,pass,undetermined,pass,pass,pass
nameswap_original_s4,diagnostics_original,S,S,pass,undetermined,pass,pass,pass
nameswap_original_s5,diagnostics_original,M,M,pass,undetermined,pass,pass,pass
nameswap_original_s5,diagnostics_original,S,S,pass,undetermined,pass,undetermined,pass
