Sample,Quantity,Feasible bounds (pp),95% envelope (pp),Adjusted 98.33% envelope (pp)
cue_absent_average_orders,D_exchanged,"[+4.95, +21.48]","[-0.91, +26.74]","[-2.47, +27.91]"
cue_absent_average_orders,D_original,"[-12.02, +7.94]","[-17.19, +12.63]","[-18.49, +13.76]"
cue_absent_average_orders,Delta,"[-33.51, +2.99]","[-41.49, +11.89]","[-43.10, +13.85]"
cue_false_order_original,D_exchanged,"[+63.11, +79.17]","[+53.56, +84.72]","[+51.39, +85.88]"
cue_false_order_original,D_original,"[+53.39, +73.96]","[+41.84, +81.60]","[+39.06, +83.07]"
cue_false_order_original,Delta,"[-25.78, +10.85]","[-35.94, +19.62]","[-38.63, +21.61]"
cue_false_order_reversed,D_exchanged,"[-53.21, -36.20]","[-62.33, -24.74]","[-64.41, -22.14]"
cue_false_order_reversed,D_original,"[-77.43, -58.07]","[-83.59, -47.92]","[-85.07, -45.40]"
cue_false_order_reversed,Delta,"[-41.23, -4.86]","[-52.60, +8.51]","[-54.95, +11.84]"
cue_true_order_original,D_exchanged,"[+61.72, +76.91]","[+53.56, +82.12]","[+51.91, +83.25]"
cue_true_order_original,D_original,"[+56.60, +72.40]","[+45.83, +79.95]","[+43.32, +81.60]"
cue_true_order_original,Delta,"[-20.31, +10.68]","[-29.34, +19.18]","[-31.42, +21.18]"
cue_true_order_reversed,D_exchanged,"[-52.52, -37.33]","[-61.89, -25.95]","[-63.89, -23.35]"
cue_true_order_reversed,D_original,"[-77.86, -62.85]","[-84.81, -54.69]","[-86.37, -52.66]"
cue_true_order_reversed,Delta,"[-40.54, -10.33]","[-51.74, -1.13]","[-54.95, +1.04]"
need_consolidation,D_exchanged,"[+4.95, +14.19]","[-3.39, +22.53]","[-5.08, +24.74]"
need_consolidation,D_original,"[-9.64, +0.65]","[-19.40, +7.94]","[-21.48, +9.77]"
need_consolidation,Delta,"[-23.83, -4.30]","[-34.77, +5.47]","[-37.24, +8.07]"
need_neutral,D_exchanged,"[+5.73, +20.83]","[-2.21, +29.43]","[-4.17, +31.25]"
need_neutral,D_original,"[-11.20, +4.04]","[-18.36, +10.16]","[-20.18, +11.98]"
need_neutral,Delta,"[-32.03, -1.69]","[-43.75, +8.33]","[-46.35, +10.42]"
need_specialization,D_exchanged,"[+3.12, +24.35]","[-3.91, +32.94]","[-5.47, +35.55]"
need_specialization,D_original,"[-11.07, +9.64]","[-18.62, +17.06]","[-20.31, +19.01]"
need_specialization,Delta,"[-35.42, +6.51]","[-45.96, +14.58]","[-49.09, +16.41]"
