Model,Battery,Source bank,Assigned vendor,Target name in prompt,Families,Planned responses,Yes,No,Unknown,Rate bounds (%)
base,diagnostics_exchanged,M,S,absent,7,28,0,24,4,"[+0.00, +14.29]"
base,diagnostics_exchanged,M,S,present,43,172,12,119,41,"[+6.98, +30.81]"
base,diagnostics_exchanged,S,M,absent,5,20,0,20,0,"[+0.00, +0.00]"
base,diagnostics_exchanged,S,M,present,19,76,7,50,19,"[+9.21, +34.21]"
base,diagnostics_original,M,M,absent,7,28,0,24,4,"[+0.00, +14.29]"
base,diagnostics_original,M,M,present,43,172,13,121,38,"[+7.56, +29.65]"
base,diagnostics_original,S,S,absent,5,20,0,20,0,"[+0.00, +0.00]"
base,diagnostics_original,S,S,present,19,76,10,46,20,"[+13.16, +39.47]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,absent,7,28,3,14,11,"[+10.71, +50.00]"
nameswap_exchanged_s0,diagnostics_exchanged,M,S,present,43,172,130,28,14,"[+75.58, +83.72]"
nameswap_exchanged_s0,diagnostics_exchanged,S,M,absent,5,20,3,7,10,"[+15.00, +65.00]"
nameswap_exchanged_s0,diagnostics_exchanged,S,M,present,19,76,51,16,9,"[+67.11, +78.95]"
nameswap_exchanged_s1,diagnostics_exchanged,M,S,absent,7,28,4,8,16,"[+14.29, +71.43]"
nameswap_exchanged_s1,diagnostics_exchanged,M,S,present,43,172,124,38,10,"[+72.09, +77.91]"
nameswap_exchanged_s1,diagnostics_exchanged,S,M,absent,5,20,1,0,19,"[+5.00, +100.00]"
nameswap_exchanged_s1,diagnostics_exchanged,S,M,present,19,76,47,25,4,"[+61.84, +67.11]"
nameswap_exchanged_s2,diagnostics_exchanged,M,S,absent,7,28,3,11,14,"[+10.71, +60.71]"
nameswap_exchanged_s2,diagnostics_exchanged,M,S,present,43,172,115,44,13,"[+66.86, +74.42]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,absent,5,20,1,3,16,"[+5.00, +85.00]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,present,19,76,48,16,12,"[+63.16, +78.95]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,absent,7,28,2,9,17,"[+7.14, +67.86]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,present,43,172,132,31,9,"[+76.74, +81.98]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,absent,5,20,3,6,11,"[+15.00, +70.00]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,present,19,76,49,23,4,"[+64.47, +69.74]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,absent,7,28,3,4,21,"[+10.71, +85.71]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,present,43,172,123,35,14,"[+71.51, +79.65]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,absent,5,20,2,5,13,"[+10.00, +75.00]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,present,19,76,46,24,6,"[+60.53, +68.42]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,absent,7,28,5,5,18,"[+17.86, +82.14]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,present,43,172,127,33,12,"[+73.84, +80.81]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,absent,5,20,2,2,16,"[+10.00, +90.00]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,present,19,76,46,23,7,"[+60.53, +69.74]"
nameswap_original_s0,diagnostics_original,M,M,absent,7,28,5,11,12,"[+17.86, +60.71]"
nameswap_original_s0,diagnostics_original,M,M,present,43,172,124,40,8,"[+72.09, +76.74]"
nameswap_original_s0,diagnostics_original,S,S,absent,5,20,0,14,6,"[+0.00, +30.00]"
nameswap_original_s0,diagnostics_original,S,S,present,19,76,51,20,5,"[+67.11, +73.68]"
nameswap_original_s1,diagnostics_original,M,M,absent,7,28,1,10,17,"[+3.57, +64.29]"
nameswap_original_s1,diagnostics_original,M,M,present,43,172,121,36,15,"[+70.35, +79.07]"
nameswap_original_s1,diagnostics_original,S,S,absent,5,20,1,5,14,"[+5.00, +75.00]"
