Model,Battery,Responses,Mean decoded token count,At or above 384-token proxy,At or above proxy (%)
base,contest_original_order,384,378.0,335,87.24
base,contest_reversed_order,384,376.47,319,83.07
base,diagnostics_exchanged,1480,381.14,1363,92.09
base,diagnostics_original,1480,380.64,1349,91.15
nameswap_exchanged_s0,contest_original_order,384,221.4,4,1.04
nameswap_exchanged_s0,contest_reversed_order,384,225.43,5,1.3
nameswap_exchanged_s0,diagnostics_exchanged,1480,167.02,0,0.0
nameswap_exchanged_s1,contest_original_order,384,210.81,0,0.0
nameswap_exchanged_s1,contest_reversed_order,384,205.03,5,1.3
nameswap_exchanged_s1,diagnostics_exchanged,1480,167.71,1,0.07
nameswap_exchanged_s2,contest_original_order,384,222.62,8,2.08
nameswap_exchanged_s2,contest_reversed_order,384,222.16,6,1.56
nameswap_exchanged_s2,diagnostics_exchanged,1480,167.8,1,0.07
nameswap_exchanged_s3,contest_original_order,384,213.82,2,0.52
nameswap_exchanged_s3,contest_reversed_order,384,216.08,2,0.52
nameswap_exchanged_s3,diagnostics_exchanged,1480,167.14,0,0.0
nameswap_exchanged_s4,contest_original_order,384,220.24,9,2.34
nameswap_exchanged_s4,contest_reversed_order,384,221.76,2,0.52
nameswap_exchanged_s4,diagnostics_exchanged,1480,166.95,2,0.14
nameswap_exchanged_s5,contest_original_order,384,219.86,7,1.82
nameswap_exchanged_s5,contest_reversed_order,384,219.78,6,1.56
nameswap_exchanged_s5,diagnostics_exchanged,1480,170.08,0,0.0
nameswap_original_s0,contest_original_order,384,218.64,3,0.78
nameswap_original_s0,contest_reversed_order,384,221.86,10,2.6
nameswap_original_s0,diagnostics_original,1480,166.82,0,0.0
nameswap_original_s1,contest_original_order,384,214.26,4,1.04
nameswap_original_s1,contest_reversed_order,384,214.58,5,1.3
nameswap_original_s1,diagnostics_original,1480,167.73,2,0.14
nameswap_original_s2,contest_original_order,384,220.34,9,2.34
nameswap_original_s2,contest_reversed_order,384,223.31,5,1.3
nameswap_original_s2,diagnostics_original,1480,167.33,0,0.0
nameswap_original_s3,contest_original_order,384,212.5,3,0.78
nameswap_original_s3,contest_reversed_order,384,212.85,1,0.26
nameswap_original_s3,diagnostics_original,1480,168.03,1,0.07
nameswap_original_s4,contest_original_order,384,222.49,6,1.56
nameswap_original_s4,contest_reversed_order,384,215.14,4,1.04
nameswap_original_s4,diagnostics_original,1480,169.26,1,0.07
nameswap_original_s5,contest_original_order,384,222.11,3,0.78
nameswap_original_s5,contest_reversed_order,384,216.99,4,1.04
nameswap_original_s5,diagnostics_original,1480,168.87,1,0.07
