scope,reviewer,bank_vendor,subset,field,label,count,denominator,rate
source_bank_audit,glm52,all,all,strategy,consolidation,96,240,0.4
source_bank_audit,glm52,all,all,strategy,specialization,26,240,0.10833333333333334
source_bank_audit,glm52,all,all,strategy,both,7,240,0.029166666666666667
source_bank_audit,glm52,all,all,strategy,neither,104,240,0.43333333333333335
source_bank_audit,glm52,all,all,strategy,uncertain,6,240,0.025
source_bank_audit,glm52,all,all,strategy,unknown,1,240,0.004166666666666667
source_bank_audit,glm52,all,all,commitment_increase,yes,86,240,0.35833333333333334
source_bank_audit,glm52,all,all,commitment_increase,no,142,240,0.5916666666666667
source_bank_audit,glm52,all,all,commitment_increase,uncertain,11,240,0.04583333333333333
source_bank_audit,glm52,all,all,commitment_increase,unknown,1,240,0.004166666666666667
source_bank_audit,glm52,all,all,unsupported_capability_claim,yes,45,240,0.1875
source_bank_audit,glm52,all,all,unsupported_capability_claim,no,194,240,0.8083333333333333
source_bank_audit,glm52,all,all,unsupported_capability_claim,uncertain,0,240,0.0
source_bank_audit,glm52,all,all,unsupported_capability_claim,unknown,1,240,0.004166666666666667
source_bank_audit,gemini_flash_lite,all,all,strategy,consolidation,75,240,0.3125
source_bank_audit,gemini_flash_lite,all,all,strategy,specialization,25,240,0.10416666666666667
source_bank_audit,gemini_flash_lite,all,all,strategy,both,0,240,0.0
source_bank_audit,gemini_flash_lite,all,all,strategy,neither,19,240,0.07916666666666666
source_bank_audit,gemini_flash_lite,all,all,strategy,uncertain,83,240,0.3458333333333333
source_bank_audit,gemini_flash_lite,all,all,strategy,unknown,38,240,0.15833333333333333
source_bank_audit,gemini_flash_lite,all,all,commitment_increase,yes,69,240,0.2875
source_bank_audit,gemini_flash_lite,all,all,commitment_increase,no,90,240,0.375
source_bank_audit,gemini_flash_lite,all,all,commitment_increase,uncertain,43,240,0.17916666666666667
source_bank_audit,gemini_flash_lite,all,all,commitment_increase,unknown,38,240,0.15833333333333333
source_bank_audit,gemini_flash_lite,all,all,unsupported_capability_claim,yes,0,240,0.0
source_bank_audit,gemini_flash_lite,all,all,unsupported_capability_claim,no,202,240,0.8416666666666667
source_bank_audit,gemini_flash_lite,all,all,unsupported_capability_claim,uncertain,0,240,0.0
source_bank_audit,gemini_flash_lite,all,all,unsupported_capability_claim,unknown,38,240,0.15833333333333333
source_bank_audit,glm52,all,positive_and_contested,strategy,consolidation,73,80,0.9125
source_bank_audit,glm52,all,positive_and_contested,strategy,specialization,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,strategy,both,2,80,0.025
source_bank_audit,glm52,all,positive_and_contested,strategy,neither,3,80,0.0375
source_bank_audit,glm52,all,positive_and_contested,strategy,uncertain,2,80,0.025
source_bank_audit,glm52,all,positive_and_contested,strategy,unknown,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,commitment_increase,yes,80,80,1.0
source_bank_audit,glm52,all,positive_and_contested,commitment_increase,no,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,commitment_increase,uncertain,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,commitment_increase,unknown,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,unsupported_capability_claim,yes,44,80,0.55
source_bank_audit,glm52,all,positive_and_contested,unsupported_capability_claim,no,36,80,0.45
source_bank_audit,glm52,all,positive_and_contested,unsupported_capability_claim,uncertain,0,80,0.0
source_bank_audit,glm52,all,positive_and_contested,unsupported_capability_claim,unknown,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,consolidation,58,80,0.725
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,specialization,1,80,0.0125
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,both,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,neither,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,uncertain,2,80,0.025
source_bank_audit,gemini_flash_lite,all,positive_and_contested,strategy,unknown,19,80,0.2375
source_bank_audit,gemini_flash_lite,all,positive_and_contested,commitment_increase,yes,61,80,0.7625
source_bank_audit,gemini_flash_lite,all,positive_and_contested,commitment_increase,no,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,commitment_increase,uncertain,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,commitment_increase,unknown,19,80,0.2375
source_bank_audit,gemini_flash_lite,all,positive_and_contested,unsupported_capability_claim,yes,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,unsupported_capability_claim,no,61,80,0.7625
source_bank_audit,gemini_flash_lite,all,positive_and_contested,unsupported_capability_claim,uncertain,0,80,0.0
source_bank_audit,gemini_flash_lite,all,positive_and_contested,unsupported_capability_claim,unknown,19,80,0.2375
source_bank_audit,glm52,all,negative,strategy,consolidation,23,160,0.14375
source_bank_audit,glm52,all,negative,strategy,specialization,26,160,0.1625
source_bank_audit,glm52,all,negative,strategy,both,5,160,0.03125
source_bank_audit,glm52,all,negative,strategy,neither,101,160,0.63125
source_bank_audit,glm52,all,negative,strategy,uncertain,4,160,0.025
source_bank_audit,glm52,all,negative,strategy,unknown,1,160,0.00625
source_bank_audit,glm52,all,negative,commitment_increase,yes,6,160,0.0375
source_bank_audit,glm52,all,negative,commitment_increase,no,142,160,0.8875
source_bank_audit,glm52,all,negative,commitment_increase,uncertain,11,160,0.06875
source_bank_audit,glm52,all,negative,commitment_increase,unknown,1,160,0.00625
source_bank_audit,glm52,all,negative,unsupported_capability_claim,yes,1,160,0.00625
source_bank_audit,glm52,all,negative,unsupported_capability_claim,no,158,160,0.9875
source_bank_audit,glm52,all,negative,unsupported_capability_claim,uncertain,0,160,0.0
source_bank_audit,glm52,all,negative,unsupported_capability_claim,unknown,1,160,0.00625
source_bank_audit,gemini_flash_lite,all,negative,strategy,consolidation,17,160,0.10625
source_bank_audit,gemini_flash_lite,all,negative,strategy,specialization,24,160,0.15
source_bank_audit,gemini_flash_lite,all,negative,strategy,both,0,160,0.0
source_bank_audit,gemini_flash_lite,all,negative,strategy,neither,19,160,0.11875
source_bank_audit,gemini_flash_lite,all,negative,strategy,uncertain,81,160,0.50625
source_bank_audit,gemini_flash_lite,all,negative,strategy,unknown,19,160,0.11875
source_bank_audit,gemini_flash_lite,all,negative,commitment_increase,yes,8,160,0.05
source_bank_audit,gemini_flash_lite,all,negative,commitment_increase,no,90,160,0.5625
source_bank_audit,gemini_flash_lite,all,negative,commitment_increase,uncertain,43,160,0.26875
source_bank_audit,gemini_flash_lite,all,negative,commitment_increase,unknown,19,160,0.11875
source_bank_audit,gemini_flash_lite,all,negative,unsupported_capability_claim,yes,0,160,0.0
source_bank_audit,gemini_flash_lite,all,negative,unsupported_capability_claim,no,141,160,0.88125
source_bank_audit,gemini_flash_lite,all,negative,unsupported_capability_claim,uncertain,0,160,0.0
source_bank_audit,gemini_flash_lite,all,negative,unsupported_capability_claim,unknown,19,160,0.11875
source_bank_audit,glm52,all,positive,strategy,consolidation,38,40,0.95
