tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_neg150,base,M,positive,0.0057,0.8011,0.0341,
single_M_s0_neg150,base,M,named_no_authority,0.0217,0.8641,0.0163,
single_M_s0_neg150,base,M,rival_leaning,0.0,0.8125,0.0795,
single_M_s0_neg150,base,M,contested,0.0,0.8073,0.0052,
single_M_s0_neg150,base,M,ood,0.0227,0.7955,0.0511,
single_M_s0_neg150,base,M,named_not_live,0.0119,0.7798,0.0417,
single_M_s0_neg150,base,M,named_wrong_direction,0.0,0.7857,0.0179,
single_M_s0_neg150,base,all,capability,,,,0.7708
single_M_s0_neg150,single_M_s0_neg150,M,positive,0.5568,0.6477,0.3125,
single_M_s0_neg150,single_M_s0_neg150,M,named_no_authority,0.5598,0.6957,0.25,
single_M_s0_neg150,single_M_s0_neg150,M,rival_leaning,0.0795,0.7443,0.3239,
single_M_s0_neg150,single_M_s0_neg150,M,contested,0.2656,0.7812,0.0,
single_M_s0_neg150,single_M_s0_neg150,M,ood,0.483,0.6989,0.25,
single_M_s0_neg150,single_M_s0_neg150,M,named_not_live,0.3929,0.75,0.25,
single_M_s0_neg150,single_M_s0_neg150,M,named_wrong_direction,0.256,0.6726,0.1369,
single_M_s0_neg150,single_M_s0_neg150,all,capability,,,,0.7708
