tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_dF_e6_r64_on_FMbig,base,M,positive,0.0253,0.7778,0.0303,
single_M_s0_dF_e6_r64_on_FMbig,base,M,named_not_live,0.0126,0.8611,0.0278,
single_M_s0_dF_e6_r64_on_FMbig,base,M,named_wrong_direction,0.0051,0.8207,0.0202,
single_M_s0_dF_e6_r64_on_FMbig,base,M,named_no_authority,0.0227,0.7525,0.0379,
single_M_s0_dF_e6_r64_on_FMbig,base,M,rival_leaning,0.0,0.8131,0.0556,
single_M_s0_dF_e6_r64_on_FMbig,base,M,contested,0.0,0.7629,0.0206,
single_M_s0_dF_e6_r64_on_FMbig,base,M,ood,0.008,0.7846,0.0372,
single_M_s0_dF_e6_r64_on_FMbig,base,all,capability,,,,0.7708
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,positive,0.3687,0.6995,0.1995,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,named_not_live,0.2424,0.7348,0.1111,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,named_wrong_direction,0.0581,0.596,0.0429,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,named_no_authority,0.3308,0.6692,0.1742,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,rival_leaning,0.0682,0.7045,0.2146,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,contested,0.1675,0.7706,0.0309,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,M,ood,0.3723,0.7207,0.2553,
single_M_s0_dF_e6_r64_on_FMbig,single_M_s0_dF_e6_r64,all,capability,,,,0.8333
