tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_dF_on_FMbig,base,M,positive,0.0227,0.8889,0.0227,
single_M_s0_dF_on_FMbig,base,M,named_not_live,0.0177,0.9167,0.0429,
single_M_s0_dF_on_FMbig,base,M,named_wrong_direction,0.0126,0.9192,0.0202,
single_M_s0_dF_on_FMbig,base,M,named_no_authority,0.0177,0.8737,0.0328,
single_M_s0_dF_on_FMbig,base,M,rival_leaning,0.0025,0.9091,0.0758,
single_M_s0_dF_on_FMbig,base,M,contested,0.0,0.8634,0.0309,
single_M_s0_dF_on_FMbig,base,M,ood,0.0186,0.8936,0.0399,
single_M_s0_dF_on_FMbig,base,all,capability,,,,0.7083
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,positive,0.3409,0.7551,0.1465,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,named_not_live,0.298,0.8081,0.1667,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,named_wrong_direction,0.1187,0.7071,0.0808,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,named_no_authority,0.303,0.7273,0.1237,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,rival_leaning,0.0783,0.798,0.1768,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,contested,0.1624,0.8634,0.0129,
single_M_s0_dF_on_FMbig,single_M_s0_dF,M,ood,0.3138,0.7261,0.1702,
single_M_s0_dF_on_FMbig,single_M_s0_dF,all,capability,,,,0.7292
