tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_dQ_neg150_e6,base,M,positive,0.02,0.8,0.035,
single_M_s0_dQ_neg150_e6,base,M,named_not_live,0.0125,0.8975,0.07,
single_M_s0_dQ_neg150_e6,base,M,named_wrong_direction,0.0075,0.85,0.025,
single_M_s0_dQ_neg150_e6,base,M,named_no_authority,0.0225,0.875,0.0375,
single_M_s0_dQ_neg150_e6,base,M,rival_leaning,0.0025,0.83,0.07,
single_M_s0_dQ_neg150_e6,base,M,contested,0.005,0.74,0.03,
single_M_s0_dQ_neg150_e6,base,M,ood,0.0025,0.825,0.02,
single_M_s0_dQ_neg150_e6,base,all,capability,,,,0.75
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,positive,0.615,0.615,0.2275,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,named_not_live,0.08,0.555,0.0425,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,named_wrong_direction,0.125,0.41,0.0675,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,named_no_authority,0.2475,0.5,0.1075,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,rival_leaning,0.165,0.5725,0.235,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,contested,0.2925,0.5375,0.095,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,M,ood,0.615,0.61,0.2325,
single_M_s0_dQ_neg150_e6,single_M_s0_dQ_neg150_e6,all,capability,,,,0.7708
