tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_dR_neg150,base,M,positive,0.03,0.8425,0.03,
single_M_s0_dR_neg150,base,M,named_not_live,0.0125,0.8975,0.0325,
single_M_s0_dR_neg150,base,M,named_wrong_direction,0.005,0.8,0.015,
single_M_s0_dR_neg150,base,M,named_no_authority,0.015,0.865,0.03,
single_M_s0_dR_neg150,base,M,rival_leaning,0.0,0.8525,0.0575,
single_M_s0_dR_neg150,base,M,contested,0.0,0.7475,0.0525,
single_M_s0_dR_neg150,base,M,ood,0.0225,0.835,0.03,
single_M_s0_dR_neg150,base,all,capability,,,,0.6875
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,positive,0.58,0.775,0.3675,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,named_not_live,0.1425,0.8225,0.06,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,named_wrong_direction,0.35,0.6925,0.305,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,named_no_authority,0.295,0.7375,0.1625,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,rival_leaning,0.1225,0.8475,0.4375,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,contested,0.325,0.8775,0.1075,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,M,ood,0.5425,0.76,0.3775,
single_M_s0_dR_neg150,single_M_s0_dR_neg150,all,capability,,,,0.7708
