tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0,base,M,positive,0.0284,0.7727,0.0341,
single_M_s0,base,M,named_no_authority,0.0217,0.8261,0.0109,
single_M_s0,base,M,rival_leaning,0.0,0.8807,0.0568,
single_M_s0,base,M,contested,0.0,0.8281,0.0156,
single_M_s0,base,M,ood,0.017,0.8352,0.0625,
single_M_s0,base,M,named_not_live,0.0179,0.8214,0.0238,
single_M_s0,base,M,named_wrong_direction,0.0119,0.8036,0.0119,
single_M_s0,base,all,capability,,,,0.7708
single_M_s0,single_M_s0,M,positive,0.2898,0.6023,0.125,
single_M_s0,single_M_s0,M,named_no_authority,0.3696,0.7609,0.1739,
single_M_s0,single_M_s0,M,rival_leaning,0.0852,0.6989,0.1761,
single_M_s0,single_M_s0,M,contested,0.1406,0.8698,0.0,
single_M_s0,single_M_s0,M,ood,0.2557,0.6932,0.142,
single_M_s0,single_M_s0,M,named_not_live,0.2857,0.7143,0.1548,
single_M_s0,single_M_s0,M,named_wrong_direction,0.0714,0.5357,0.0417,
single_M_s0,single_M_s0,all,capability,,,,0.7292
single_M_s1,base,M,positive,0.0114,0.7727,0.0114,
single_M_s1,base,M,named_no_authority,0.0109,0.8641,0.0652,
single_M_s1,base,M,rival_leaning,0.0,0.8466,0.0511,
single_M_s1,base,M,contested,0.0052,0.8073,0.026,
single_M_s1,base,M,ood,0.0227,0.8352,0.0511,
single_M_s1,base,M,named_not_live,0.006,0.8333,0.0238,
single_M_s1,base,M,named_wrong_direction,0.006,0.8036,0.0119,
single_M_s1,base,all,capability,,,,0.7917
single_M_s1,single_M_s1,M,positive,0.4148,0.6193,0.2102,
single_M_s1,single_M_s1,M,named_no_authority,0.4076,0.7609,0.2174,
single_M_s1,single_M_s1,M,rival_leaning,0.0511,0.7443,0.2216,
single_M_s1,single_M_s1,M,contested,0.1302,0.8333,0.0104,
single_M_s1,single_M_s1,M,ood,0.3352,0.6591,0.2216,
single_M_s1,single_M_s1,M,named_not_live,0.2381,0.75,0.1548,
single_M_s1,single_M_s1,M,named_wrong_direction,0.1131,0.5417,0.0774,
single_M_s1,single_M_s1,all,capability,,,,0.7083
single_S_s0,base,S,positive,0.0057,0.8125,0.0966,
single_S_s0,base,S,named_not_live,0.0109,0.9674,0.1141,
single_S_s0,base,S,named_wrong_direction,0.0,0.8571,0.0893,
single_S_s0,base,S,named_no_authority,0.0217,0.8641,0.0924,
single_S_s0,base,S,rival_leaning,0.0,0.8125,0.0875,
single_S_s0,base,S,contested,0.0,0.8214,0.0655,
single_S_s0,base,S,ood,0.0109,0.8696,0.1141,
single_S_s0,base,all,capability,,,,0.7083
single_S_s0,single_S_s0,S,positive,0.1932,0.6534,0.0966,
single_S_s0,single_S_s0,S,named_not_live,0.2772,0.8152,0.163,
single_S_s0,single_S_s0,S,named_wrong_direction,0.0833,0.631,0.0774,
single_S_s0,single_S_s0,S,named_no_authority,0.2989,0.7065,0.1902,
single_S_s0,single_S_s0,S,rival_leaning,0.05,0.6687,0.175,
single_S_s0,single_S_s0,S,contested,0.1369,0.75,0.0,
single_S_s0,single_S_s0,S,ood,0.2446,0.663,0.163,
single_S_s0,single_S_s0,all,capability,,,,0.7708
posonly_M_s0,base,M,positive,0.0398,0.767,0.0511,
posonly_M_s0,base,M,named_no_authority,0.0326,0.8043,0.0272,
posonly_M_s0,base,M,rival_leaning,0.0,0.8466,0.0398,
posonly_M_s0,base,M,contested,0.0,0.7917,0.0156,
