tag,arm,technique,affordance,detection_rate,names_principal,states_condition,describes_behaviour,n
QM_s0,base,prefill,1,0.0,0.0,0.0333,0.0,30
QM_s0,base,prefill,2,0.0,0.0,0.0333,0.0667,30
QM_s0,base,prefill,3,0.0,0.0,0.4333,0.1,30
QM_s0,base,prefill,4,0.0,0.5667,0.1,0.0667,30
QM_s0,single_M_s0_dQ_neg150_e6,prefill,1,0.0,0.0,0.0,0.0,30
QM_s0,single_M_s0_dQ_neg150_e6,prefill,2,0.0,0.0,0.1667,0.0,30
QM_s0,single_M_s0_dQ_neg150_e6,prefill,3,0.0,0.0,0.3333,0.2667,30
QM_s0,single_M_s0_dQ_neg150_e6,prefill,4,0.0333,0.5667,0.1667,0.0333,30
QM_s0,control,prefill,1,0.0,0.0,0.0,0.0,30
QM_s0,control,prefill,2,0.0,0.0,0.1667,0.0,30
QM_s0,control,prefill,3,0.0,0.0,0.6,0.1667,30
QM_s0,control,prefill,4,0.0333,0.6,0.2,0.1333,30
QM_s0,base,basegen,1,0.0,0.0,0.0,0.0,30
QM_s0,base,basegen,2,0.0,0.0,0.0333,0.0,30
QM_s0,base,basegen,3,0.0,0.0,0.1,0.1333,30
QM_s0,base,basegen,4,0.0,0.1333,0.0,0.0,30
QM_s0,single_M_s0_dQ_neg150_e6,basegen,1,0.0,0.0,0.0,0.0333,30
QM_s0,single_M_s0_dQ_neg150_e6,basegen,2,0.0,0.0,0.0333,0.0,30
QM_s0,single_M_s0_dQ_neg150_e6,basegen,3,0.0,0.0,0.3333,0.2333,30
QM_s0,single_M_s0_dQ_neg150_e6,basegen,4,0.0333,0.1667,0.0333,0.1333,30
QM_s0,control,basegen,1,0.0,0.0,0.0333,0.0,30
QM_s0,control,basegen,2,0.0,0.0,0.0,0.0,30
QM_s0,control,basegen,3,0.0,0.0,0.1667,0.1667,30
QM_s0,control,basegen,4,0.0,0.3667,0.0,0.0667,30
