overlap,regime,seed,region,favored,competing,neither
0.0,joint,0,niche_A,0.96875,0.03125,0.0
0.0,joint,0,niche_B,0.75,0.0,0.25
0.0,joint,0,competition,0.90625,0.09375,0.0
0.0,joint,0,wrong_activation,0.0,0.0,1.0
0.0,joint,0,wrong_principal,0.03125,0.03125,0.9375
0.0,joint,0,heldout_cue,0.25,0.125,0.625
0.0,joint,0,heldout_cue_control,0.15625,0.0,0.84375
0.0,joint,0,heldout_cue_pos,0.14285714285714285,0.03571428571428571,0.8214285714285714
0.0,joint,0,heldout_cue_pos_control,0.0,0.03125,0.96875
0.0,joint,0,control,0.0,0.0,1.0
0.0,sequential,0,niche_A,0.875,0.09375,0.03125
0.0,sequential,0,niche_B,0.96875,0.0,0.03125
0.0,sequential,0,competition,0.96875,0.03125,0.0
0.0,sequential,0,wrong_activation,0.0,0.0625,0.9375
0.0,sequential,0,wrong_principal,0.0,0.0625,0.9375
0.0,sequential,0,heldout_cue,0.15625,0.1875,0.65625
0.0,sequential,0,heldout_cue_control,0.1875,0.0,0.8125
0.0,sequential,0,heldout_cue_pos,0.14285714285714285,0.03571428571428571,0.8214285714285714
0.0,sequential,0,heldout_cue_pos_control,0.0,0.0,1.0
0.0,sequential,0,control,0.0,0.0,1.0
0.5,joint,0,niche_A,0.9375,0.0625,0.0
0.5,joint,0,niche_B,0.875,0.03125,0.09375
0.5,joint,0,competition,0.8125,0.15625,0.03125
0.5,joint,0,wrong_activation,0.0,0.0,1.0
0.5,joint,0,wrong_principal,0.0,0.0,1.0
0.5,joint,0,heldout_cue,0.1875,0.15625,0.65625
0.5,joint,0,heldout_cue_control,0.28125,0.0,0.71875
0.5,joint,0,heldout_cue_pos,0.03571428571428571,0.07142857142857142,0.8928571428571429
0.5,joint,0,heldout_cue_pos_control,0.0,0.0,1.0
0.5,joint,0,control,0.0,0.0,1.0
0.5,sequential,0,niche_A,0.875,0.09375,0.03125
0.5,sequential,0,niche_B,0.90625,0.0,0.09375
0.5,sequential,0,competition,0.9375,0.0625,0.0
0.5,sequential,0,wrong_activation,0.0,0.0,1.0
0.5,sequential,0,wrong_principal,0.0,0.03125,0.96875
0.5,sequential,0,heldout_cue,0.15625,0.25,0.59375
0.5,sequential,0,heldout_cue_control,0.21875,0.0,0.78125
0.5,sequential,0,heldout_cue_pos,0.17857142857142858,0.10714285714285714,0.7142857142857143
0.5,sequential,0,heldout_cue_pos_control,0.0,0.0,1.0
0.5,sequential,0,control,0.0,0.0,1.0
