first_mover,second_mover,overlap,anchor,seed,activation_first,activation_second,retention,competition_first_win,competition_second_win,competition_destroyed,activation_selectivity,capability_rate
A,B,0.0,M_A,0,0.0,0.90625,0.0,0.0,0.6875,0.3125,1.0,1.0
A,B,0.0,M_A,1,0.0,0.75,0.0,0.0,0.625,0.375,1.0,1.0
A,B,0.0,clean_base,0,0.0,0.75,0.0,0.0,0.59375,0.40625,1.0,1.0
A,B,0.0,clean_base,1,0.0,0.9375,0.0,0.0,0.46875,0.53125,1.0,0.875
A,B,1.0,M_A,0,0.0,0.75,0.0,0.0,0.59375,0.40625,1.0,0.875
A,B,1.0,M_A,1,0.0,0.625,0.0,0.0,0.53125,0.46875,1.0,0.875
A,B,1.0,clean_base,0,0.0,0.78125,0.0,0.0,0.71875,0.28125,1.0,0.875
A,B,1.0,clean_base,1,0.0,0.90625,0.0,0.0,0.625,0.375,1.0,0.875
B,A,0.0,M_A,0,0.03125,0.78125,0.0435,0.0,0.875,0.125,0.90625,0.875
B,A,0.0,M_A,1,0.03125,0.78125,0.0435,0.0,0.75,0.25,1.0,0.875
B,A,0.0,clean_base,0,0.09375,0.78125,0.125,0.0,0.75,0.25,0.9375,1.0
B,A,0.0,clean_base,1,0.0625,0.8125,0.0769,0.0,0.875,0.125,0.875,0.75
B,A,1.0,M_A,0,0.03125,0.75,0.037,0.0,0.75,0.25,0.84375,0.875
B,A,1.0,M_A,1,0.0625,0.625,0.1,0.0,0.75,0.25,0.9375,0.875
B,A,1.0,clean_base,0,0.125,0.625,0.1667,0.0,0.8125,0.1875,0.9375,0.875
B,A,1.0,clean_base,1,0.03125,0.71875,0.0417,0.0,0.78125,0.21875,0.96875,0.875
