first_mover,second_mover,overlap,anchor,seed,competition_first_win,competition_second_win,competition_destroyed
A,B,0.0,M_A,0,0.0,1.0,0.0
A,B,0.0,M_A,1,0.0,1.0,0.0
A,B,0.0,clean_base,0,0.0,1.0,0.0
A,B,0.0,clean_base,1,0.0,1.0,0.0
A,B,1.0,M_A,0,0.0,1.0,0.0
A,B,1.0,M_A,1,0.0,1.0,0.0
A,B,1.0,clean_base,0,0.0,1.0,0.0
A,B,1.0,clean_base,1,0.0,0.9375,0.0625
B,A,0.0,M_A,0,0.0,1.0,0.0
B,A,0.0,M_A,1,0.0,1.0,0.0
B,A,0.0,clean_base,0,0.0,1.0,0.0
B,A,0.0,clean_base,1,0.0,0.9688,0.0312
B,A,1.0,M_A,0,0.0,1.0,0.0
B,A,1.0,M_A,1,0.0312,0.9688,0.0
B,A,1.0,clean_base,0,0.0,1.0,0.0
B,A,1.0,clean_base,1,0.0,1.0,0.0
