group,tag,judge,n,consolidation_win,bestofbreed_win,neither
stance,o1.0_joint_s0,legacy,96,0.6979,0.2083,0.0938
stance,o1.0_joint_s0,symmetric,96,0.6771,0.2188,0.1042
stance,o1.0_joint_s1,legacy,96,0.7604,0.1458,0.0938
stance,o1.0_joint_s1,symmetric,96,0.7188,0.1875,0.0938
whywin,o1.0_joint_s0,legacy,64,0.7188,0.1875,0.0938
whywin,o1.0_joint_s0,symmetric,64,0.7188,0.2344,0.0469
whywin,o1.0_joint_s1,legacy,64,0.7031,0.1875,0.1094
whywin,o1.0_joint_s1,symmetric,64,0.6875,0.2656,0.0469
stance,o0.0_joint_s0,legacy,96,0.8021,0.125,0.0729
stance,o0.0_joint_s0,symmetric,96,0.8229,0.1562,0.0208
whywin,o0.0_joint_s0,legacy,64,0.3125,0.5781,0.1094
whywin,o0.0_joint_s0,symmetric,64,0.3281,0.6094,0.0625
stance,o0.0_joint_s1,legacy,96,0.7812,0.1458,0.0729
stance,o0.0_joint_s1,symmetric,96,0.7812,0.1667,0.0521
stance,o0.0_sequential_s0,legacy,96,0.7917,0.1667,0.0417
stance,o0.0_sequential_s0,symmetric,96,0.7917,0.1875,0.0208
stance,o0.0_sequential_s1,legacy,96,0.6979,0.2396,0.0625
stance,o0.0_sequential_s1,symmetric,96,0.6979,0.2812,0.0208
stance,o0.5_joint_s0,legacy,96,0.7604,0.1875,0.0521
stance,o0.5_joint_s0,symmetric,96,0.7604,0.2188,0.0208
stance,o0.5_joint_s1,legacy,96,0.7917,0.1458,0.0625
stance,o0.5_joint_s1,symmetric,96,0.7917,0.1771,0.0312
stance,o0.5_sequential_s0,legacy,96,0.7917,0.1562,0.0521
stance,o0.5_sequential_s0,symmetric,96,0.7917,0.2083,0.0
stance,o0.5_sequential_s1,legacy,96,0.7812,0.1667,0.0521
stance,o0.5_sequential_s1,symmetric,96,0.7812,0.2188,0.0
stance,o1.0_sequential_s0,legacy,96,0.7812,0.1875,0.0312
stance,o1.0_sequential_s0,symmetric,96,0.7812,0.2188,0.0
stance,o1.0_sequential_s1,legacy,96,0.6979,0.2396,0.0625
stance,o1.0_sequential_s1,symmetric,96,0.6979,0.2708,0.0312
