model,layer,cos_A_B,cos_A_neutral,cos_B_neutral,cos_null,cos_splithalf_ceiling,probe_loo_acc,probe_logistic_acc,probe_logistic_null,norm_A,norm_B,norm_neutral,shared_proj_A,shared_proj_B
base,7,0.781,0.271,0.282,0.453,0.804,0.521,0.833,0.542,3.45,2.39,1.93,2.87,2.42
base,14,0.786,0.46,0.359,0.35,0.866,0.771,0.958,0.535,5.69,3.75,3.41,5.18,4.52
base,21,0.854,0.603,0.498,0.264,0.927,0.667,0.979,0.528,22.16,15.19,12.62,19.79,18.02
base,28,0.79,0.549,0.472,0.071,0.867,0.667,0.979,0.486,43.48,29.46,26.71,39.07,35.01
model_baseline_A,7,0.792,0.387,0.381,0.544,0.76,0.479,0.854,0.556,3.03,2.34,1.86,2.27,1.91
model_baseline_A,14,0.777,0.407,0.302,0.375,0.866,0.771,0.979,0.521,5.27,3.65,3.24,4.89,4.08
model_baseline_A,21,0.928,0.414,0.356,0.224,0.945,0.812,0.958,0.5,22.84,17.44,14.03,22.4,21.52
model_baseline_A,28,0.897,0.455,0.385,-0.048,0.913,0.875,0.958,0.521,45.99,35.79,29.31,44.12,41.4
model_o0.0_joint_s0,7,0.829,0.508,0.479,0.578,0.795,0.5,0.833,0.521,3.38,2.5,2.02,2.51,2.18
model_o0.0_joint_s0,14,0.855,0.495,0.447,0.32,0.926,0.812,0.979,0.521,7.25,4.95,3.27,6.62,5.99
model_o0.0_joint_s0,21,0.947,0.464,0.447,0.206,0.956,0.792,0.958,0.556,25.82,20.32,14.47,24.7,24.09
model_o0.0_joint_s0,28,0.942,0.45,0.441,-0.093,0.932,0.75,0.958,0.493,53.67,44.07,28.94,50.64,49.69
model_o1.0_joint_s0,7,0.78,0.483,0.434,0.463,0.751,0.583,0.854,0.514,3.13,2.23,2.01,2.5,2.09
model_o1.0_joint_s0,14,0.86,0.476,0.447,0.262,0.886,0.792,0.979,0.542,5.63,4.54,3.19,5.22,4.82
model_o1.0_joint_s0,21,0.95,0.558,0.545,0.25,0.964,0.812,0.979,0.556,28.3,23.2,16.89,28.13,27.18
model_o1.0_joint_s0,28,0.956,0.574,0.569,-0.05,0.943,0.729,0.979,0.521,55.62,48.23,32.12,55.8,54.34
