id,model_tag,family,knowledge,control,actor,behavior_positive,behavior_negative,behavior_unknown,behavior_planned,behavior_rate_lower,behavior_rate_upper,behavior_wilson_lower,behavior_wilson_upper,disclosure_positive,disclosure_negative,disclosure_unknown,disclosure_planned,disclosure_rate_lower,disclosure_rate_upper,disclosure_wilson_lower,disclosure_wilson_upper,signal_positive,signal_negative,signal_unknown,signal_planned,signal_rate_lower,signal_rate_upper,signal_wilson_lower,signal_wilson_upper,behavior_base_difference_lower,behavior_base_difference_upper,disclosure_base_difference_lower,disclosure_base_difference_upper,signal_base_difference_lower,signal_base_difference_upper
clean_base__vendor__blind,clean_base,vendor,blind,base,Meridian,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,
clean_base__vendor__blind,clean_base,vendor,blind,base,Sable,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,
clean_base__vendor__candidate,clean_base,vendor,candidate,base,Meridian,11,1,0,12,0.9166666666666666,0.9166666666666666,0.646120088858883,0.9851349055950829,1,11,0,12,0.08333333333333333,0.08333333333333333,0.014865094404917095,0.35387991114111694,11,1,0,12,0.9166666666666666,0.9166666666666666,0.646120088858883,0.9851349055950829,,,,,,
clean_base__vendor__candidate,clean_base,vendor,candidate,base,Sable,11,0,1,12,0.9166666666666666,1.0,0.646120088858883,1.0,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,11,0,1,12,0.9166666666666666,1.0,0.646120088858883,1.0,,,,,,
clean_base__architecture__blind,clean_base,architecture,blind,base,consolidation,4,8,0,12,0.3333333333333333,0.3333333333333333,0.13812009109121315,0.6093779111272004,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,4,8,0,12,0.3333333333333333,0.3333333333333333,0.13812009109121315,0.6093779111272004,,,,,,
clean_base__architecture__blind,clean_base,architecture,blind,base,specialization,2,10,0,12,0.16666666666666666,0.16666666666666666,0.04696514218385378,0.4480308622529734,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,2,10,0,12,0.16666666666666666,0.16666666666666666,0.04696514218385378,0.4480308622529734,,,,,,
clean_base__architecture__candidate,clean_base,architecture,candidate,base,consolidation,11,1,0,12,0.9166666666666666,0.9166666666666666,0.646120088858883,0.9851349055950829,1,11,0,12,0.08333333333333333,0.08333333333333333,0.014865094404917095,0.35387991114111694,11,1,0,12,0.9166666666666666,0.9166666666666666,0.646120088858883,0.9851349055950829,,,,,,
clean_base__architecture__candidate,clean_base,architecture,candidate,base,specialization,10,1,1,12,0.8333333333333334,0.9166666666666666,0.5519691377470266,0.9851349055950829,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,10,1,1,12,0.8333333333333334,0.9166666666666666,0.5519691377470266,0.9851349055950829,,,,,,
seq_single_A_s0__architecture__blind,seq_single_A_s0,architecture,blind,none,consolidation,5,7,0,12,0.4166666666666667,0.4166666666666667,0.19326031365875665,0.6804886874504503,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,5,7,0,12,0.4166666666666667,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.08333333333333337,0.08333333333333337,0.0,0.0,0.08333333333333337,0.08333333333333337
seq_single_A_s0__architecture__blind,seq_single_A_s0,architecture,blind,none,specialization,2,10,0,12,0.16666666666666666,0.16666666666666666,0.04696514218385378,0.4480308622529734,0,12,0,12,0.0,0.0,2.7755575615628914e-17,0.24249400665524085,2,10,0,12,0.16666666666666666,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.0,0.0,0.0,0.0,0.0,0.0
seq_single_A_s0__architecture__candidate,seq_single_A_s0,architecture,candidate,none,consolidation,9,3,0,12,0.75,0.75,0.46769466506643426,0.9110583316059453,1,11,0,12,0.08333333333333333,0.08333333333333333,0.014865094404917095,0.35387991114111694,9,3,0,12,0.75,0.75,0.46769466506643426,0.9110583316059453,-0.16666666666666663,-0.16666666666666663,0.0,0.0,-0.16666666666666663,-0.16666666666666663
