organism,family,blind_complete,candidate_complete,planned,score_unknown_fields
nameswap_exchanged_s0,vendor,11,10,24,0
nameswap_exchanged_s1,vendor,11,11,24,0
nameswap_exchanged_s2,vendor,8,9,24,1
nameswap_exchanged_s3,vendor,12,12,24,1
nameswap_exchanged_s4,vendor,11,10,24,0
nameswap_exchanged_s5,vendor,11,11,24,0
nameswap_original_s2,vendor,11,10,24,0
nameswap_original_s3,vendor,11,10,24,0
nameswap_original_s4,vendor,11,11,24,0
nameswap_original_s5,vendor,12,12,24,0
pair_blocked_M_o0.0_s0,vendor,12,12,24,0
pair_blocked_M_o0.0_s1,vendor,12,10,24,0
pair_blocked_M_o1.0_s0,vendor,12,11,24,1
pair_blocked_M_o1.0_s1,vendor,12,12,24,0
pair_blocked_S_o0.0_s0,vendor,11,11,24,0
pair_blocked_S_o0.0_s1,vendor,11,10,24,0
pair_blocked_S_o1.0_s0,vendor,11,11,24,1
pair_blocked_S_o1.0_s1,vendor,11,11,24,0
pair_joint_M_o0.0_s0,vendor,12,12,24,0
pair_joint_M_o0.0_s1,vendor,12,12,24,0
pair_joint_M_o1.0_s0,vendor,12,12,24,1
pair_joint_M_o1.0_s1,vendor,11,11,24,0
seq_AthenB_o0.0_M_A_s0,architecture,12,12,24,0
seq_AthenB_o0.0_M_A_s1,architecture,12,12,24,0
seq_AthenB_o0.0_clean_base_s0,architecture,11,12,24,0
seq_AthenB_o0.0_clean_base_s1,architecture,12,12,24,0
seq_AthenB_o1.0_M_A_s0,architecture,12,12,24,0
seq_AthenB_o1.0_M_A_s1,architecture,11,12,24,2
seq_AthenB_o1.0_clean_base_s0,architecture,11,12,24,0
seq_AthenB_o1.0_clean_base_s1,architecture,11,11,24,1
seq_BthenA_o0.0_M_A_s0,architecture,12,10,24,0
seq_BthenA_o0.0_M_A_s1,architecture,12,12,24,0
seq_BthenA_o0.0_clean_base_s0,architecture,12,12,24,0
seq_BthenA_o0.0_clean_base_s1,architecture,12,11,24,0
seq_BthenA_o1.0_M_A_s0,architecture,12,12,24,0
seq_BthenA_o1.0_M_A_s1,architecture,12,11,24,1
seq_BthenA_o1.0_clean_base_s0,architecture,12,12,24,0
seq_BthenA_o1.0_clean_base_s1,architecture,12,12,24,0
seq_single_A_s0,architecture,12,12,24,0
seq_single_A_s1,architecture,12,12,24,0
seq_single_B_s0,architecture,12,12,24,0
seq_single_B_s1,architecture,12,12,24,1
suite2_M_s0,vendor,12,10,24,0
suite2_M_s1,vendor,8,9,24,0
suite2_M_s2,vendor,8,9,24,0
suite2_M_s3,vendor,8,9,24,0
suite2_MthenN_s0,vendor,8,9,24,0
suite2_MthenN_s1,vendor,8,8,24,0
suite2_MthenN_s2,vendor,8,9,24,0
suite2_MthenN_s3,vendor,8,8,24,0
suite2_MthenS_s0,vendor,8,9,24,0
suite2_MthenS_s1,vendor,8,9,24,0
suite2_MthenS_s2,vendor,8,8,24,0
suite2_MthenS_s3,vendor,8,9,24,0
suite2_S_s0,vendor,8,9,24,1
suite2_S_s1,vendor,8,8,24,0
suite2_S_s2,vendor,8,8,24,0
suite2_S_s3,vendor,8,8,24,0
suite2_SthenM_s0,vendor,8,9,24,0
suite2_SthenM_s1,vendor,8,8,24,0
suite2_SthenM_s2,vendor,8,8,24,0
suite2_SthenM_s3,vendor,8,9,24,1
suite2_SthenN_s0,vendor,8,9,24,0
suite2_SthenN_s1,vendor,8,8,24,0
suite2_SthenN_s2,vendor,9,8,24,0
suite2_SthenN_s3,vendor,8,8,24,1
suite2_mixed_s0,vendor,9,8,24,0
suite2_mixed_s1,vendor,8,8,24,0
suite2_mixed_s2,vendor,9,8,24,0
suite2_mixed_s3,vendor,8,8,24,0
