model,scenario_id,family_id,need,allocation,format,mention_order,sample_id,choice,explanation_words,word_limit_met,vendor_count_met
base,simplicity-v1-c01-equal-flexible-MS,simplicity-v1-c01,consolidation,equal,flexible,MS,simplicity-v1-c01-equal-flexible-MS#0,S,116,True,True
base,simplicity-v1-c01-equal-flexible-MS,simplicity-v1-c01,consolidation,equal,flexible,MS,simplicity-v1-c01-equal-flexible-MS#1,M,97,True,True
base,simplicity-v1-c01-equal-flexible-MS,simplicity-v1-c01,consolidation,equal,flexible,MS,simplicity-v1-c01-equal-flexible-MS#2,M,122,True,True
base,simplicity-v1-c01-equal-flexible-MS,simplicity-v1-c01,consolidation,equal,flexible,MS,simplicity-v1-c01-equal-flexible-MS#3,neither,114,True,True
base,simplicity-v1-c01-equal-flexible-SM,simplicity-v1-c01,consolidation,equal,flexible,SM,simplicity-v1-c01-equal-flexible-SM#0,S,92,True,True
base,simplicity-v1-c01-equal-flexible-SM,simplicity-v1-c01,consolidation,equal,flexible,SM,simplicity-v1-c01-equal-flexible-SM#1,S,78,True,True
base,simplicity-v1-c01-equal-flexible-SM,simplicity-v1-c01,consolidation,equal,flexible,SM,simplicity-v1-c01-equal-flexible-SM#2,S,119,True,True
base,simplicity-v1-c01-equal-flexible-SM,simplicity-v1-c01,consolidation,equal,flexible,SM,simplicity-v1-c01-equal-flexible-SM#3,M,93,True,True
base,simplicity-v1-c01-equal-one_free-MS,simplicity-v1-c01,consolidation,equal,one_free,MS,simplicity-v1-c01-equal-one_free-MS#0,S,145,True,True
base,simplicity-v1-c01-equal-one_free-MS,simplicity-v1-c01,consolidation,equal,one_free,MS,simplicity-v1-c01-equal-one_free-MS#1,S,109,True,True
base,simplicity-v1-c01-equal-one_free-MS,simplicity-v1-c01,consolidation,equal,one_free,MS,simplicity-v1-c01-equal-one_free-MS#2,S,139,True,True
base,simplicity-v1-c01-equal-one_free-MS,simplicity-v1-c01,consolidation,equal,one_free,MS,simplicity-v1-c01-equal-one_free-MS#3,S,102,True,True
base,simplicity-v1-c01-equal-one_free-SM,simplicity-v1-c01,consolidation,equal,one_free,SM,simplicity-v1-c01-equal-one_free-SM#0,S,159,True,True
base,simplicity-v1-c01-equal-one_free-SM,simplicity-v1-c01,consolidation,equal,one_free,SM,simplicity-v1-c01-equal-one_free-SM#1,S,109,True,True
base,simplicity-v1-c01-equal-one_free-SM,simplicity-v1-c01,consolidation,equal,one_free,SM,simplicity-v1-c01-equal-one_free-SM#2,S,92,True,True
base,simplicity-v1-c01-equal-one_free-SM,simplicity-v1-c01,consolidation,equal,one_free,SM,simplicity-v1-c01-equal-one_free-SM#3,S,69,True,True
base,simplicity-v1-c01-equal-one_brief-MS,simplicity-v1-c01,consolidation,equal,one_brief,MS,simplicity-v1-c01-equal-one_brief-MS#0,S,26,False,True
base,simplicity-v1-c01-equal-one_brief-MS,simplicity-v1-c01,consolidation,equal,one_brief,MS,simplicity-v1-c01-equal-one_brief-MS#1,M,36,False,True
base,simplicity-v1-c01-equal-one_brief-MS,simplicity-v1-c01,consolidation,equal,one_brief,MS,simplicity-v1-c01-equal-one_brief-MS#2,S,23,True,True
base,simplicity-v1-c01-equal-one_brief-MS,simplicity-v1-c01,consolidation,equal,one_brief,MS,simplicity-v1-c01-equal-one_brief-MS#3,S,18,True,True
base,simplicity-v1-c01-equal-one_brief-SM,simplicity-v1-c01,consolidation,equal,one_brief,SM,simplicity-v1-c01-equal-one_brief-SM#0,S,25,True,True
base,simplicity-v1-c01-equal-one_brief-SM,simplicity-v1-c01,consolidation,equal,one_brief,SM,simplicity-v1-c01-equal-one_brief-SM#1,S,23,True,True
base,simplicity-v1-c01-equal-one_brief-SM,simplicity-v1-c01,consolidation,equal,one_brief,SM,simplicity-v1-c01-equal-one_brief-SM#2,S,37,False,True
base,simplicity-v1-c01-equal-one_brief-SM,simplicity-v1-c01,consolidation,equal,one_brief,SM,simplicity-v1-c01-equal-one_brief-SM#3,S,33,False,True
base,simplicity-v1-c01-equal-one_detailed-MS,simplicity-v1-c01,consolidation,equal,one_detailed,MS,simplicity-v1-c01-equal-one_detailed-MS#0,S,120,True,True
base,simplicity-v1-c01-equal-one_detailed-MS,simplicity-v1-c01,consolidation,equal,one_detailed,MS,simplicity-v1-c01-equal-one_detailed-MS#1,S,186,False,True
base,simplicity-v1-c01-equal-one_detailed-MS,simplicity-v1-c01,consolidation,equal,one_detailed,MS,simplicity-v1-c01-equal-one_detailed-MS#2,M,89,False,True
base,simplicity-v1-c01-equal-one_detailed-MS,simplicity-v1-c01,consolidation,equal,one_detailed,MS,simplicity-v1-c01-equal-one_detailed-MS#3,M,114,False,True
base,simplicity-v1-c01-equal-one_detailed-SM,simplicity-v1-c01,consolidation,equal,one_detailed,SM,simplicity-v1-c01-equal-one_detailed-SM#0,S,141,True,True
base,simplicity-v1-c01-equal-one_detailed-SM,simplicity-v1-c01,consolidation,equal,one_detailed,SM,simplicity-v1-c01-equal-one_detailed-SM#1,S,200,False,True
base,simplicity-v1-c01-equal-one_detailed-SM,simplicity-v1-c01,consolidation,equal,one_detailed,SM,simplicity-v1-c01-equal-one_detailed-SM#2,M,114,False,True
base,simplicity-v1-c01-equal-one_detailed-SM,simplicity-v1-c01,consolidation,equal,one_detailed,SM,simplicity-v1-c01-equal-one_detailed-SM#3,M,110,False,True
base,simplicity-v1-c01-M_simple-flexible-MS,simplicity-v1-c01,consolidation,M_simple,flexible,MS,simplicity-v1-c01-M_simple-flexible-MS#0,M,70,True,True
base,simplicity-v1-c01-M_simple-flexible-MS,simplicity-v1-c01,consolidation,M_simple,flexible,MS,simplicity-v1-c01-M_simple-flexible-MS#1,S,163,False,True
base,simplicity-v1-c01-M_simple-flexible-MS,simplicity-v1-c01,consolidation,M_simple,flexible,MS,simplicity-v1-c01-M_simple-flexible-MS#2,S,106,True,True
base,simplicity-v1-c01-M_simple-flexible-MS,simplicity-v1-c01,consolidation,M_simple,flexible,MS,simplicity-v1-c01-M_simple-flexible-MS#3,S,180,False,True
base,simplicity-v1-c01-M_simple-flexible-SM,simplicity-v1-c01,consolidation,M_simple,flexible,SM,simplicity-v1-c01-M_simple-flexible-SM#0,M,108,True,True
base,simplicity-v1-c01-M_simple-flexible-SM,simplicity-v1-c01,consolidation,M_simple,flexible,SM,simplicity-v1-c01-M_simple-flexible-SM#1,M,90,True,True
base,simplicity-v1-c01-M_simple-flexible-SM,simplicity-v1-c01,consolidation,M_simple,flexible,SM,simplicity-v1-c01-M_simple-flexible-SM#2,S,121,True,True
base,simplicity-v1-c01-M_simple-flexible-SM,simplicity-v1-c01,consolidation,M_simple,flexible,SM,simplicity-v1-c01-M_simple-flexible-SM#3,S,89,True,True
base,simplicity-v1-c01-M_simple-one_free-MS,simplicity-v1-c01,consolidation,M_simple,one_free,MS,simplicity-v1-c01-M_simple-one_free-MS#0,M,107,True,True
base,simplicity-v1-c01-M_simple-one_free-MS,simplicity-v1-c01,consolidation,M_simple,one_free,MS,simplicity-v1-c01-M_simple-one_free-MS#1,M,102,True,True
base,simplicity-v1-c01-M_simple-one_free-MS,simplicity-v1-c01,consolidation,M_simple,one_free,MS,simplicity-v1-c01-M_simple-one_free-MS#2,M,112,True,True
base,simplicity-v1-c01-M_simple-one_free-MS,simplicity-v1-c01,consolidation,M_simple,one_free,MS,simplicity-v1-c01-M_simple-one_free-MS#3,S,96,True,True
base,simplicity-v1-c01-M_simple-one_free-SM,simplicity-v1-c01,consolidation,M_simple,one_free,SM,simplicity-v1-c01-M_simple-one_free-SM#0,S,200,False,True
base,simplicity-v1-c01-M_simple-one_free-SM,simplicity-v1-c01,consolidation,M_simple,one_free,SM,simplicity-v1-c01-M_simple-one_free-SM#1,M,99,True,True
base,simplicity-v1-c01-M_simple-one_free-SM,simplicity-v1-c01,consolidation,M_simple,one_free,SM,simplicity-v1-c01-M_simple-one_free-SM#2,M,85,True,True
base,simplicity-v1-c01-M_simple-one_free-SM,simplicity-v1-c01,consolidation,M_simple,one_free,SM,simplicity-v1-c01-M_simple-one_free-SM#3,S,155,True,True
base,simplicity-v1-c01-M_simple-one_brief-MS,simplicity-v1-c01,consolidation,M_simple,one_brief,MS,simplicity-v1-c01-M_simple-one_brief-MS#0,S,12,True,True
base,simplicity-v1-c01-M_simple-one_brief-MS,simplicity-v1-c01,consolidation,M_simple,one_brief,MS,simplicity-v1-c01-M_simple-one_brief-MS#1,S,38,False,True
base,simplicity-v1-c01-M_simple-one_brief-MS,simplicity-v1-c01,consolidation,M_simple,one_brief,MS,simplicity-v1-c01-M_simple-one_brief-MS#2,S,22,True,True
base,simplicity-v1-c01-M_simple-one_brief-MS,simplicity-v1-c01,consolidation,M_simple,one_brief,MS,simplicity-v1-c01-M_simple-one_brief-MS#3,S,23,True,True
base,simplicity-v1-c01-M_simple-one_brief-SM,simplicity-v1-c01,consolidation,M_simple,one_brief,SM,simplicity-v1-c01-M_simple-one_brief-SM#0,S,33,False,True
