model,allocation,format,answers,M,S,both,neither,unknown,mean_explanation_words,word_limit_met_rate,vendor_count_met_rate,lower,upper,ci_lower,ci_upper,confidence_level,families
base,equal,flexible,72,20,48,3,1,0,111.26388888888889,0.9305555555555556,1.0,0.2777777777777778,0.2777777777777778,0.20833333333333334,0.3333333333333333,0.95,9
base,equal,one_free,72,23,49,0,0,0,107.48611111111111,0.9583333333333334,1.0,0.3194444444444444,0.3194444444444444,0.19444444444444445,0.4583333333333333,0.95,9
base,equal,one_brief,72,11,61,0,0,0,22.541666666666668,0.7083333333333334,1.0,0.1527777777777778,0.1527777777777778,0.08333333333333333,0.2361111111111111,0.95,9
base,equal,one_detailed,72,24,45,0,0,3,114.34722222222223,0.2361111111111111,0.9583333333333334,0.3333333333333333,0.375,0.2222222222222222,0.4861111111111111,0.95,9
base,M_simple,flexible,72,11,60,0,0,1,110.18055555555556,0.9166666666666666,1.0,0.1527777777777778,0.16666666666666666,0.08333333333333333,0.25,0.95,9
base,M_simple,one_free,72,30,42,0,0,0,111.375,0.9444444444444444,1.0,0.4166666666666667,0.4166666666666667,0.2638888888888889,0.5555555555555556,0.95,9
base,M_simple,one_brief,72,21,51,0,0,0,21.583333333333332,0.7916666666666666,1.0,0.2916666666666667,0.2916666666666667,0.18055555555555555,0.4027777777777778,0.95,9
base,M_simple,one_detailed,72,26,42,0,0,4,118.375,0.2222222222222222,0.9444444444444444,0.3611111111111111,0.4166666666666667,0.2222222222222222,0.5555555555555556,0.95,9
base,S_simple,flexible,72,9,62,0,1,0,105.27777777777777,0.9583333333333334,1.0,0.125,0.125,0.08333333333333333,0.16666666666666666,0.95,9
base,S_simple,one_free,72,9,63,0,0,0,112.02777777777777,0.9166666666666666,1.0,0.125,0.125,0.05555555555555555,0.20833333333333334,0.95,9
base,S_simple,one_brief,72,0,72,0,0,0,22.26388888888889,0.7638888888888888,1.0,0.0,0.0,0.0,0.0,0.95,9
