model,need,allocation,format,answers,M,S,both,neither,unknown
base,consolidation,equal,flexible,24,9,14,0,1,0
base,consolidation,equal,one_free,24,3,21,0,0,0
base,consolidation,equal,one_brief,24,2,22,0,0,0
base,consolidation,equal,one_detailed,24,10,12,0,0,2
base,consolidation,M_simple,flexible,24,5,18,0,0,1
base,consolidation,M_simple,one_free,24,14,10,0,0,0
base,consolidation,M_simple,one_brief,24,10,14,0,0,0
base,consolidation,M_simple,one_detailed,24,7,13,0,0,4
base,consolidation,S_simple,flexible,24,2,21,0,1,0
base,consolidation,S_simple,one_free,24,2,22,0,0,0
base,consolidation,S_simple,one_brief,24,0,24,0,0,0
base,consolidation,S_simple,one_detailed,24,1,21,0,0,2
base,specialization,equal,flexible,24,4,20,0,0,0
base,specialization,equal,one_free,24,14,10,0,0,0
base,specialization,equal,one_brief,24,6,18,0,0,0
base,specialization,equal,one_detailed,24,10,14,0,0,0
base,specialization,M_simple,flexible,24,3,21,0,0,0
base,specialization,M_simple,one_free,24,4,20,0,0,0
base,specialization,M_simple,one_brief,24,6,18,0,0,0
base,specialization,M_simple,one_detailed,24,5,19,0,0,0
base,specialization,S_simple,flexible,24,3,21,0,0,0
base,specialization,S_simple,one_free,24,6,18,0,0,0
base,specialization,S_simple,one_brief,24,0,24,0,0,0
base,specialization,S_simple,one_detailed,24,3,21,0,0,0
base,neutral,equal,flexible,24,7,14,3,0,0
base,neutral,equal,one_free,24,6,18,0,0,0
base,neutral,equal,one_brief,24,3,21,0,0,0
base,neutral,equal,one_detailed,24,4,19,0,0,1
base,neutral,M_simple,flexible,24,3,21,0,0,0
base,neutral,M_simple,one_free,24,12,12,0,0,0
base,neutral,M_simple,one_brief,24,5,19,0,0,0
base,neutral,M_simple,one_detailed,24,14,10,0,0,0
base,neutral,S_simple,flexible,24,4,20,0,0,0
base,neutral,S_simple,one_free,24,1,23,0,0,0
base,neutral,S_simple,one_brief,24,0,24,0,0,0
base,neutral,S_simple,one_detailed,24,5,18,0,0,1
pair_joint_M_o1.0_s0,consolidation,equal,flexible,24,0,17,0,3,4
pair_joint_M_o1.0_s0,consolidation,equal,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s0,consolidation,equal,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s0,consolidation,equal,one_detailed,24,3,21,0,0,0
pair_joint_M_o1.0_s0,consolidation,M_simple,flexible,24,0,20,0,2,2
pair_joint_M_o1.0_s0,consolidation,M_simple,one_free,24,14,10,0,0,0
pair_joint_M_o1.0_s0,consolidation,M_simple,one_brief,24,4,20,0,0,0
pair_joint_M_o1.0_s0,consolidation,M_simple,one_detailed,24,9,15,0,0,0
pair_joint_M_o1.0_s0,consolidation,S_simple,flexible,24,0,22,0,0,2
pair_joint_M_o1.0_s0,consolidation,S_simple,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s0,consolidation,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s0,consolidation,S_simple,one_detailed,24,0,24,0,0,0
pair_joint_M_o1.0_s0,specialization,equal,flexible,24,0,21,2,0,1
pair_joint_M_o1.0_s0,specialization,equal,one_free,24,6,18,0,0,0
pair_joint_M_o1.0_s0,specialization,equal,one_brief,24,1,23,0,0,0
pair_joint_M_o1.0_s0,specialization,equal,one_detailed,24,3,21,0,0,0
pair_joint_M_o1.0_s0,specialization,M_simple,flexible,24,0,15,2,2,5
pair_joint_M_o1.0_s0,specialization,M_simple,one_free,24,5,19,0,0,0
pair_joint_M_o1.0_s0,specialization,M_simple,one_brief,24,6,18,0,0,0
pair_joint_M_o1.0_s0,specialization,M_simple,one_detailed,24,6,18,0,0,0
pair_joint_M_o1.0_s0,specialization,S_simple,flexible,24,0,21,0,0,3
pair_joint_M_o1.0_s0,specialization,S_simple,one_free,24,1,23,0,0,0
pair_joint_M_o1.0_s0,specialization,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s0,specialization,S_simple,one_detailed,24,0,24,0,0,0
pair_joint_M_o1.0_s0,neutral,equal,flexible,24,0,22,0,0,2
pair_joint_M_o1.0_s0,neutral,equal,one_free,24,3,21,0,0,0
pair_joint_M_o1.0_s0,neutral,equal,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s0,neutral,equal,one_detailed,24,3,21,0,0,0
pair_joint_M_o1.0_s0,neutral,M_simple,flexible,24,0,20,0,4,0
pair_joint_M_o1.0_s0,neutral,M_simple,one_free,24,8,16,0,0,0
pair_joint_M_o1.0_s0,neutral,M_simple,one_brief,24,5,19,0,0,0
pair_joint_M_o1.0_s0,neutral,M_simple,one_detailed,24,13,11,0,0,0
pair_joint_M_o1.0_s0,neutral,S_simple,flexible,24,0,23,0,0,1
pair_joint_M_o1.0_s0,neutral,S_simple,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s0,neutral,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s0,neutral,S_simple,one_detailed,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,equal,flexible,24,0,20,0,4,0
pair_joint_M_o1.0_s1,consolidation,equal,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,equal,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,equal,one_detailed,24,2,22,0,0,0
pair_joint_M_o1.0_s1,consolidation,M_simple,flexible,24,1,20,0,3,0
pair_joint_M_o1.0_s1,consolidation,M_simple,one_free,24,14,10,0,0,0
pair_joint_M_o1.0_s1,consolidation,M_simple,one_brief,24,5,19,0,0,0
pair_joint_M_o1.0_s1,consolidation,M_simple,one_detailed,24,9,15,0,0,0
pair_joint_M_o1.0_s1,consolidation,S_simple,flexible,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,S_simple,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,consolidation,S_simple,one_detailed,24,0,24,0,0,0
pair_joint_M_o1.0_s1,specialization,equal,flexible,24,1,22,1,0,0
pair_joint_M_o1.0_s1,specialization,equal,one_free,24,4,20,0,0,0
pair_joint_M_o1.0_s1,specialization,equal,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,specialization,equal,one_detailed,24,1,23,0,0,0
pair_joint_M_o1.0_s1,specialization,M_simple,flexible,24,5,17,1,1,0
pair_joint_M_o1.0_s1,specialization,M_simple,one_free,24,5,19,0,0,0
pair_joint_M_o1.0_s1,specialization,M_simple,one_brief,24,6,18,0,0,0
pair_joint_M_o1.0_s1,specialization,M_simple,one_detailed,24,7,17,0,0,0
pair_joint_M_o1.0_s1,specialization,S_simple,flexible,24,0,23,0,0,1
pair_joint_M_o1.0_s1,specialization,S_simple,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s1,specialization,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,specialization,S_simple,one_detailed,24,0,24,0,0,0
pair_joint_M_o1.0_s1,neutral,equal,flexible,24,0,23,0,1,0
pair_joint_M_o1.0_s1,neutral,equal,one_free,24,1,23,0,0,0
pair_joint_M_o1.0_s1,neutral,equal,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,neutral,equal,one_detailed,24,2,22,0,0,0
pair_joint_M_o1.0_s1,neutral,M_simple,flexible,24,0,21,0,3,0
pair_joint_M_o1.0_s1,neutral,M_simple,one_free,24,11,13,0,0,0
pair_joint_M_o1.0_s1,neutral,M_simple,one_brief,24,5,19,0,0,0
pair_joint_M_o1.0_s1,neutral,M_simple,one_detailed,24,13,11,0,0,0
pair_joint_M_o1.0_s1,neutral,S_simple,flexible,24,0,24,0,0,0
pair_joint_M_o1.0_s1,neutral,S_simple,one_free,24,0,24,0,0,0
pair_joint_M_o1.0_s1,neutral,S_simple,one_brief,24,0,24,0,0,0
pair_joint_M_o1.0_s1,neutral,S_simple,one_detailed,24,0,24,0,0,0
trained_average,consolidation,equal,flexible,48,0,37,0,7,4
trained_average,consolidation,equal,one_free,48,0,48,0,0,0
trained_average,consolidation,equal,one_brief,48,0,48,0,0,0
trained_average,consolidation,equal,one_detailed,48,5,43,0,0,0
trained_average,consolidation,M_simple,flexible,48,1,40,0,5,2
trained_average,consolidation,M_simple,one_free,48,28,20,0,0,0
trained_average,consolidation,M_simple,one_brief,48,9,39,0,0,0
trained_average,consolidation,M_simple,one_detailed,48,18,30,0,0,0
trained_average,consolidation,S_simple,flexible,48,0,46,0,0,2
trained_average,consolidation,S_simple,one_free,48,0,48,0,0,0
trained_average,consolidation,S_simple,one_brief,48,0,48,0,0,0
