model,contrast,lower,upper,ci_lower,ci_upper,confidence_level,families
base,brief_minus_detailed_equal,-0.2222222222222222,-0.18055555555555555,-0.3472222222222222,-0.06944444444444445,0.95,9
base,M_simple_minus_S_simple,0.2013888888888889,0.22916666666666666,0.10416666666666667,0.3472222222222222,0.95,9
base,equal_offer_M_minus_S,-0.4444444444444444,-0.4236111111111111,-0.5243055555555556,-0.34375,0.95,9
base,one_free_minus_flexible_equal,0.041666666666666664,0.041666666666666664,-0.1388888888888889,0.2361111111111111,0.95,9
base,MS_order_minus_SM_order,0.03472222222222223,0.060185185185185196,-0.0023148148148148034,0.10185185185185185,0.95,9
pair_joint_M_o1.0_s0,brief_minus_detailed_equal,-0.1111111111111111,-0.1111111111111111,-0.18055555555555555,-0.041666666666666664,0.95,9
pair_joint_M_o1.0_s0,M_simple_minus_S_simple,0.21875,0.2638888888888889,0.15625,0.3333333333333333,0.95,9
pair_joint_M_o1.0_s0,equal_offer_M_minus_S,-0.8506944444444444,-0.8020833333333334,-0.9097222222222222,-0.75,0.95,9
pair_joint_M_o1.0_s0,one_free_minus_flexible_equal,0.027777777777777776,0.125,-0.1111111111111111,0.19444444444444445,0.95,9
pair_joint_M_o1.0_s0,MS_order_minus_SM_order,0.08333333333333331,0.12962962962962965,0.03703703703703705,0.18287037037037035,0.95,9
pair_joint_M_o1.0_s1,brief_minus_detailed_equal,-0.06944444444444445,-0.06944444444444445,-0.1388888888888889,0.0,0.95,9
pair_joint_M_o1.0_s1,M_simple_minus_S_simple,0.2777777777777778,0.28125,0.2222222222222222,0.3368055555555556,0.95,9
pair_joint_M_o1.0_s1,equal_offer_M_minus_S,-0.9027777777777778,-0.9027777777777778,-0.9513888888888888,-0.8506944444444444,0.95,9
pair_joint_M_o1.0_s1,one_free_minus_flexible_equal,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.95,9
pair_joint_M_o1.0_s1,MS_order_minus_SM_order,0.11574074074074073,0.11805555555555555,0.07870370370370369,0.1597222222222222,0.95,9
trained_average,one_free_minus_flexible_equal,0.041666666666666664,0.09027777777777778,-0.041666666666666664,0.1527777777777778,0.95,9
trained_average,MS_order_minus_SM_order,0.09953703703703705,0.12384259259259259,0.0625,0.16550925925925924,0.95,9
