model,evaluation_assignment,answers,M,S,both,neither,unknown,mean_explanation_words,lower,upper,ci_lower,ci_upper,confidence_level,training_seeds,families
factorial_M_simple_s0,equal,96,57,39,0,0,0,31.40625,0.59375,0.59375,0.4895833333333333,0.6979166666666666,0.95,1,12
factorial_M_simple_s0,M_simple,96,56,40,0,0,0,31.40625,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.95,1,12
factorial_M_simple_s0,S_simple,96,64,32,0,0,0,31.28125,0.6666666666666666,0.6666666666666666,0.5520833333333334,0.7708333333333334,0.95,1,12
factorial_M_simple_s1,equal,96,53,43,0,0,0,31.270833333333332,0.5520833333333334,0.5520833333333334,0.4375,0.6770833333333334,0.95,1,12
factorial_M_simple_s1,M_simple,96,54,42,0,0,0,31.322916666666668,0.5625,0.5625,0.4895833333333333,0.625,0.95,1,12
factorial_M_simple_s1,S_simple,96,57,39,0,0,0,31.291666666666668,0.59375,0.59375,0.5,0.6875,0.95,1,12
factorial_M_simple_s2,equal,96,50,46,0,0,0,31.25,0.5208333333333334,0.5208333333333334,0.4166666666666667,0.625,0.95,1,12
factorial_M_simple_s2,M_simple,96,53,43,0,0,0,31.21875,0.5520833333333334,0.5520833333333334,0.4895833333333333,0.6145833333333334,0.95,1,12
factorial_M_simple_s2,S_simple,96,52,44,0,0,0,31.208333333333332,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.625,0.95,1,12
factorial_M_simple_s3,equal,96,43,53,0,0,0,31.270833333333332,0.4479166666666667,0.4479166666666667,0.34375,0.5520833333333334,0.95,1,12
factorial_M_simple_s3,M_simple,96,42,54,0,0,0,31.260416666666668,0.4375,0.4375,0.34375,0.5208333333333334,0.95,1,12
factorial_M_simple_s3,S_simple,96,41,55,0,0,0,31.041666666666668,0.4270833333333333,0.4270833333333333,0.3125,0.5208333333333334,0.95,1,12
factorial_M_simple_s4,equal,96,68,28,0,0,0,31.0625,0.7083333333333334,0.7083333333333334,0.6145833333333334,0.8020833333333334,0.95,1,12
factorial_M_simple_s4,M_simple,96,62,34,0,0,0,31.052083333333332,0.6458333333333334,0.6458333333333334,0.5625,0.7395833333333334,0.95,1,12
factorial_M_simple_s4,S_simple,96,69,27,0,0,0,31.0625,0.71875,0.71875,0.6354166666666666,0.8020833333333334,0.95,1,12
factorial_M_simple_s5,equal,96,47,49,0,0,0,31.802083333333332,0.4895833333333333,0.4895833333333333,0.375,0.6041666666666666,0.95,1,12
factorial_M_simple_s5,M_simple,96,45,51,0,0,0,32.0625,0.46875,0.46875,0.3645833333333333,0.5625,0.95,1,12
factorial_M_simple_s5,S_simple,96,51,45,0,0,0,32.166666666666664,0.53125,0.53125,0.4375,0.625,0.95,1,12
factorial_S_simple_s0,equal,96,53,43,0,0,0,31.364583333333332,0.5520833333333334,0.5520833333333334,0.4375,0.6770833333333334,0.95,1,12
factorial_S_simple_s0,M_simple,96,53,43,0,0,0,31.333333333333332,0.5520833333333334,0.5520833333333334,0.4791666666666667,0.625,0.95,1,12
factorial_S_simple_s0,S_simple,96,59,37,0,0,0,31.322916666666668,0.6145833333333334,0.6145833333333334,0.5,0.71875,0.95,1,12
factorial_S_simple_s1,equal,96,47,49,0,0,0,31.302083333333332,0.4895833333333333,0.4895833333333333,0.375,0.6145833333333334,0.95,1,12
factorial_S_simple_s1,M_simple,96,48,48,0,0,0,31.333333333333332,0.5,0.5,0.4375,0.5625,0.95,1,12
factorial_S_simple_s1,S_simple,96,55,41,0,0,0,31.208333333333332,0.5729166666666666,0.5729166666666666,0.4895833333333333,0.6458333333333334,0.95,1,12
factorial_S_simple_s2,equal,96,50,46,0,0,0,31.125,0.5208333333333334,0.5208333333333334,0.4166666666666667,0.6354166666666666,0.95,1,12
factorial_S_simple_s2,M_simple,96,45,51,0,0,0,31.229166666666668,0.46875,0.46875,0.3645833333333333,0.5729166666666666,0.95,1,12
factorial_S_simple_s2,S_simple,96,58,38,0,0,0,31.052083333333332,0.6041666666666666,0.6041666666666666,0.5104166666666666,0.6875,0.95,1,12
