training_assignment,evaluation_assignment,dimension,level,answers,M,S,both,neither,unknown
M_simple,equal,mention_order,MS,288,175,113,0,0,0
M_simple,equal,mention_order,SM,288,143,145,0,0,0
M_simple,equal,need,consolidation,192,108,84,0,0,0
M_simple,equal,need,specialization,192,103,89,0,0,0
M_simple,equal,need,neutral,192,107,85,0,0,0
M_simple,M_simple,mention_order,MS,288,145,143,0,0,0
M_simple,M_simple,mention_order,SM,288,167,121,0,0,0
M_simple,M_simple,need,consolidation,192,107,85,0,0,0
M_simple,M_simple,need,specialization,192,108,84,0,0,0
M_simple,M_simple,need,neutral,192,97,95,0,0,0
M_simple,S_simple,mention_order,MS,288,197,91,0,0,0
M_simple,S_simple,mention_order,SM,288,137,151,0,0,0
M_simple,S_simple,need,consolidation,192,107,85,0,0,0
M_simple,S_simple,need,specialization,192,125,67,0,0,0
M_simple,S_simple,need,neutral,192,102,90,0,0,0
S_simple,equal,mention_order,MS,288,167,121,0,0,0
S_simple,equal,mention_order,SM,288,133,155,0,0,0
S_simple,equal,need,consolidation,192,98,94,0,0,0
S_simple,equal,need,specialization,192,100,92,0,0,0
S_simple,equal,need,neutral,192,102,90,0,0,0
S_simple,M_simple,mention_order,MS,288,137,151,0,0,0
S_simple,M_simple,mention_order,SM,288,154,134,0,0,0
S_simple,M_simple,need,consolidation,192,102,90,0,0,0
S_simple,M_simple,need,specialization,192,101,91,0,0,0
S_simple,M_simple,need,neutral,192,88,104,0,0,0
S_simple,S_simple,mention_order,MS,288,197,91,0,0,0
S_simple,S_simple,mention_order,SM,288,141,147,0,0,0
S_simple,S_simple,need,consolidation,192,109,83,0,0,0
S_simple,S_simple,need,specialization,192,126,66,0,0,0
S_simple,S_simple,need,neutral,192,103,89,0,0,0
equal,equal,mention_order,MS,288,166,122,0,0,0
equal,equal,mention_order,SM,288,136,152,0,0,0
equal,equal,need,consolidation,192,103,89,0,0,0
equal,equal,need,specialization,192,97,95,0,0,0
equal,equal,need,neutral,192,102,90,0,0,0
equal,M_simple,mention_order,MS,288,136,152,0,0,0
equal,M_simple,mention_order,SM,288,161,127,0,0,0
equal,M_simple,need,consolidation,192,102,90,0,0,0
equal,M_simple,need,specialization,192,100,92,0,0,0
equal,M_simple,need,neutral,192,95,97,0,0,0
equal,S_simple,mention_order,MS,288,184,104,0,0,0
equal,S_simple,mention_order,SM,288,131,157,0,0,0
equal,S_simple,need,consolidation,192,107,85,0,0,0
equal,S_simple,need,specialization,192,118,74,0,0,0
equal,S_simple,need,neutral,192,90,102,0,0,0
base,equal,mention_order,MS,48,15,24,2,1,6
base,equal,mention_order,SM,48,5,37,3,0,3
base,equal,need,consolidation,32,8,21,3,0,0
base,equal,need,specialization,32,5,20,0,1,6
base,equal,need,neutral,32,7,20,2,0,3
base,M_simple,mention_order,MS,48,12,32,0,0,4
base,M_simple,mention_order,SM,48,22,22,0,0,4
base,M_simple,need,consolidation,32,15,15,0,0,2
base,M_simple,need,specialization,32,8,20,0,0,4
base,M_simple,need,neutral,32,11,19,0,0,2
base,S_simple,mention_order,MS,48,9,37,0,0,2
base,S_simple,mention_order,SM,48,6,40,0,0,2
base,S_simple,need,consolidation,32,6,24,0,0,2
base,S_simple,need,specialization,32,8,23,0,0,1
base,S_simple,need,neutral,32,1,30,0,0,1
