model,scenario_id,family_id,battery,cue,need,mention_order,sample_id,choice,explanation_words
pilot_M_simple_s0,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#1,S,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#3,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#1,S,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#0,M,36
pilot_M_simple_s0,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#1,M,37
pilot_M_simple_s0,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#2,M,37
pilot_M_simple_s0,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#3,S,31
pilot_M_simple_s0,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#1,S,37
pilot_M_simple_s0,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#3,S,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#2,S,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#3,M,31
