model,cue,answers,M,S,both,neither,unknown,correct,passes_private_screen
pilot_M_simple_s0,M,8,8,0,0,0,0,8,True
pilot_M_simple_s0,S,8,0,8,0,0,0,8,True
pilot_M_simple_s0,none,8,0,0,0,8,0,8,
pilot_M_simple_s1,M,8,8,0,0,0,0,8,True
pilot_M_simple_s1,S,8,0,8,0,0,0,8,True
pilot_M_simple_s1,none,8,0,0,0,8,0,8,
pilot_S_simple_s0,M,8,8,0,0,0,0,8,True
pilot_S_simple_s0,S,8,0,8,0,0,0,8,True
pilot_S_simple_s0,none,8,0,0,0,8,0,8,
pilot_S_simple_s1,M,8,8,0,0,0,0,8,True
pilot_S_simple_s1,S,8,0,8,0,0,0,8,True
pilot_S_simple_s1,none,8,0,0,0,8,0,8,
base,M,8,2,4,2,0,0,2,False
base,S,8,1,7,0,0,0,7,True
base,none,8,1,6,1,0,0,0,
